,year,month,day,hour,airtemp(C),dewpoint(C),windspeed(m/s),skycoverage(code),1h-prec(mm),6h-prec(mm)
0,2017,1,1,1,67,-39,51,-9999,0,-9999
1,2017,1,1,2,67,-44,51,-9999,0,-9999
2,2017,1,1,3,67,-44,51,-9999,0,-9999
3,2017,1,1,4,72,-44,51,-9999,0,-9999
4,2017,1,1,5,72,-44,57,-9999,0,-9999
5,2017,1,1,6,78,-39,46,-9999,0,-9999
6,2017,1,1,7,72,-22,36,-9999,-1,-9999
7,2017,1,1,8,78,-33,57,-9999,0,-9999
8,2017,1,1,9,78,-39,46,2,0,-9999
9,2017,1,1,10,83,-44,46,-9999,0,-9999
10,2017,1,1,11,83,-39,51,2,0,-9999
11,2017,1,1,12,83,-33,57,4,0,-1
12,2017,1,1,13,83,-28,51,4,0,-9999
13,2017,1,1,14,83,-28,62,4,0,-9999
14,2017,1,1,15,83,-17,88,4,0,-9999
15,2017,1,1,16,83,-33,82,4,0,-9999
16,2017,1,1,17,89,-44,57,4,0,-9999
17,2017,1,1,18,89,-50,46,4,0,-9999
18,2017,1,1,19,94,-56,36,2,0,-9999
19,2017,1,1,20,94,-61,57,2,0,-9999
20,2017,1,1,21,89,-50,46,2,0,-9999
21,2017,1,1,22,83,-61,46,2,0,-9999
22,2017,1,1,23,78,-67,31,2,0,-9999
23,2017,1,2,0,67,-61,26,2,0,-9999
24,2017,1,2,1,61,-44,26,2,0,-9999
25,2017,1,2,2,56,-44,21,2,0,-9999
26,2017,1,2,3,44,-17,0,0,0,-9999
27,2017,1,2,4,44,-11,15,2,0,-9999
28,2017,1,2,5,39,0,41,4,0,-9999
29,2017,1,2,6,33,-6,26,6,0,-9999
30,2017,1,2,7,33,-6,15,-9999,0,-9999
31,2017,1,2,8,39,-33,41,-9999,0,-9999
32,2017,1,2,9,33,-39,36,8,0,-9999
33,2017,1,2,10,33,-39,31,-9999,0,-9999
34,2017,1,2,11,39,-39,26,-9999,0,-9999
35,2017,1,2,12,44,-39,41,8,0,-9999
36,2017,1,2,13,39,-17,41,-9999,-1,-9999
37,2017,1,2,14,39,-6,46,-9999,5,-9999
38,2017,1,2,15,44,6,62,8,3,-9999
39,2017,1,2,16,50,11,72,-9999,-1,-9999
40,2017,1,2,17,44,17,57,-9999,-1,-9999
41,2017,1,2,18,44,22,46,8,3,10
42,2017,1,2,19,44,22,62,-9999,5,-9999
43,2017,1,2,20,50,28,57,-9999,8,-9999
44,2017,1,2,21,50,28,67,8,3,-9999
45,2017,1,2,22,44,28,62,-9999,5,-9999
46,2017,1,2,23,56,33,67,-9999,2,-9999
47,2017,1,3,0,44,28,77,8,8,30
48,2017,1,3,1,50,33,72,-9999,-1,-9999
49,2017,1,3,2,50,33,82,-9999,0,-9999
50,2017,1,3,3,44,33,72,8,0,-9999
51,2017,1,3,4,44,33,67,-9999,-1,-9999
52,2017,1,3,5,50,33,77,-9999,3,-9999
53,2017,1,3,6,44,33,93,8,3,5
54,2017,1,3,7,44,33,67,-9999,3,-9999
55,2017,1,3,8,44,33,88,-9999,3,-9999
56,2017,1,3,9,50,33,88,8,3,-9999
57,2017,1,3,10,50,33,88,-9999,-1,-9999
58,2017,1,3,11,50,33,82,-9999,-1,-9999
59,2017,1,3,12,50,33,93,8,-1,8
60,2017,1,3,13,50,39,82,-9999,-1,-9999
61,2017,1,3,14,56,39,82,-9999,-1,-9999
62,2017,1,3,15,61,44,93,8,-1,-9999
63,2017,1,3,16,67,44,82,-9999,-1,-9999
64,2017,1,3,17,67,50,72,-9999,8,-9999
65,2017,1,3,18,67,50,82,8,13,20
66,2017,1,3,19,67,50,82,-9999,15,-9999
67,2017,1,3,20,72,50,93,-9999,5,-9999
68,2017,1,3,21,67,56,88,8,5,-9999
69,2017,1,3,22,78,56,88,-9999,13,-9999
70,2017,1,3,23,67,56,51,-9999,0,-9999
71,2017,1,4,0,72,61,62,8,5,70
72,2017,1,4,1,72,61,46,-9999,3,-9999
73,2017,1,4,2,72,61,26,-9999,0,-9999
74,2017,1,4,3,67,50,41,8,0,-9999
75,2017,1,4,4,61,50,31,-9999,3,-9999
76,2017,1,4,5,61,50,31,-9999,8,-9999
77,2017,1,4,6,61,44,31,8,0,10
78,2017,1,4,7,61,44,41,-9999,0,-9999
79,2017,1,4,8,67,44,31,-9999,0,-9999
80,2017,1,4,9,72,39,51,8,0,-9999
81,2017,1,4,10,67,39,26,-9999,-1,-9999
82,2017,1,4,11,67,44,41,-9999,-1,-9999
83,2017,1,4,12,72,44,51,8,0,-1
84,2017,1,4,13,78,50,46,-9999,0,-9999
85,2017,1,4,14,83,50,62,-9999,0,-9999
86,2017,1,4,15,89,50,72,8,0,-9999
87,2017,1,4,16,100,50,46,-9999,0,-9999
88,2017,1,4,17,100,50,41,-9999,0,-9999
89,2017,1,4,18,106,50,67,8,0,-9999
90,2017,1,4,19,117,28,108,-9999,0,-9999
91,2017,1,4,20,122,11,108,4,0,-9999
92,2017,1,4,21,111,-33,98,4,0,-9999
93,2017,1,4,22,100,-50,103,4,0,-9999
94,2017,1,4,23,89,-50,88,4,0,-9999
95,2017,1,5,0,78,-67,72,4,0,-9999
96,2017,1,5,1,67,-106,118,2,0,-9999
97,2017,1,5,2,56,-117,98,0,0,-9999
98,2017,1,5,3,44,-106,93,0,0,-9999
99,2017,1,5,4,28,-122,88,0,0,-9999
100,2017,1,5,5,22,-122,82,0,0,-9999
101,2017,1,5,6,17,-122,82,0,0,-9999
102,2017,1,5,7,6,-122,93,0,0,-9999
103,2017,1,5,8,0,-122,103,0,0,-9999
104,2017,1,5,9,-6,-122,67,0,0,-9999
105,2017,1,5,10,-11,-128,93,0,0,-9999
106,2017,1,5,11,-17,-144,82,0,0,-9999
107,2017,1,5,12,-17,-139,77,2,0,-9999
108,2017,1,5,13,-17,-139,82,-9999,0,-9999
109,2017,1,5,14,-17,-139,72,-9999,0,-9999
110,2017,1,5,15,-17,-139,77,8,0,-9999
111,2017,1,5,16,-11,-139,77,-9999,0,-9999
112,2017,1,5,17,-6,-128,57,-9999,0,-9999
113,2017,1,5,18,0,-139,57,6,0,-9999
114,2017,1,5,19,6,-133,51,-9999,0,-9999
115,2017,1,5,20,6,-133,51,-9999,0,-9999
116,2017,1,5,21,11,-133,46,8,0,-9999
117,2017,1,5,22,6,-128,41,-9999,0,-9999
118,2017,1,5,23,6,-117,57,-9999,0,-9999
119,2017,1,6,0,6,-117,57,8,0,-9999
120,2017,1,6,1,11,-111,57,-9999,0,-9999
121,2017,1,6,2,11,-111,51,-9999,0,-9999
122,2017,1,6,3,11,-111,57,8,0,-9999
123,2017,1,6,4,6,-100,41,-9999,0,-9999
