,apparentTemperature,cloudCover,created_at,dewPoint,humidity,icon,location,num_tweets,precipIntensity,precipProbability,precipType,precipTypeNone,precipTypeRain,precipTypeSnow,pressure,sentiment_average,sentiment_percent_positive,temperature,time,timeHour,visibility,windBearing,windSpeed
0,35.23,0.14,{u'$date': 1511787799000},31.7,0.87,clear-day,Chicago,42.0,0.0,0.0,NoPrecip,True,False,False,1018.23,0.199020963604,0.630248917749,35.23,1511791200,2017-11-27 08,10.0,159,0.87
1,41.91,0.38,{u'$date': 1511791649000},35.38,0.77,partly-cloudy-day,Chicago,58.0,0.0,0.0,NoPrecip,True,False,False,1018.35,0.183430223991,0.671659482759,41.91,1511794800,2017-11-27 09,10.0,167,1.37
2,35.36,0.05,{u'$date': 1511773402000},30.76,0.83,clear-night,Chicago,14.0,0.0,0.0,NoPrecip,True,False,False,1018.27,0.0238945578231,0.492857142857,35.36,1511776800,2017-11-27 04,9.66,202,0.6
3,34.08,0.06,{u'$date': 1511776886000},30.2,0.86,clear-night,Chicago,21.0,0.0,0.0,NoPrecip,True,False,False,1018.63,0.110983560091,0.566071428571,34.08,1511780400,2017-11-27 05,9.66,209,0.55
4,33.56,0.04,{u'$date': 1511780807000},29.92,0.86,clear-night,Chicago,14.0,0.0,0.0,NoPrecip,True,False,False,1018.48,0.232142857143,0.842857142857,33.56,1511784000,2017-11-27 06,9.66,177,0.64
5,33.73,0.1,{u'$date': 1511784011000},30.31,0.87,clear-night,Chicago,41.0,0.0,0.0,NoPrecip,True,False,False,1018.03,0.314162311266,0.686829268293,33.73,1511787600,2017-11-27 07,9.41,165,0.81
6,52.22,0.13,{u'$date': 1511758871000},36.92,0.56,clear-day,Chicago,67.0,0.0,0.0,NoPrecip,True,False,False,1016.41,0.0556434211518,0.528571428571,52.22,1511805600,2017-11-27 00,9.82,138,2.71
7,39.0,0.1,{u'$date': 1511762437000},32.12,0.76,clear-night,Chicago,40.0,0.0,0.0,NoPrecip,True,False,False,1018.02,0.130406746032,0.5875,39.0,1511766000,2017-11-27 01,9.87,207,1.22
8,37.7,0.05,{u'$date': 1511766388000},31.78,0.79,clear-night,Chicago,30.0,0.0,0.0,NoPrecip,True,False,False,1018.08,0.0949671917589,0.533333333333,37.7,1511769600,2017-11-27 02,9.79,204,1.01
9,36.42,0.06,{u'$date': 1511769607000},31.14,0.81,clear-night,Chicago,26.0,0.0,0.0,NoPrecip,True,False,False,1017.88,0.162730117105,0.536004273504,36.42,1511773200,2017-11-27 03,9.73,201,1.1
10,31.57,1.0,{u'$date': 1509577203000},27.34,0.66,cloudy,Chicago,677.0,0.0,0.0,NoPrecip,True,False,False,1017.27,0.164252867981,0.631610044313,37.56,1509537600,2017-11-01 19,10.0,170,8.09
11,31.84,0.0,{u'$date': 1509573614000},27.29,0.67,clear-night,Chicago,751.0,0.0,0.0,NoPrecip,True,False,False,1017.42,0.205943528165,0.685086551265,37.4,1509534000,2017-11-01 18,10.0,172,7.27
12,31.52,1.0,{u'$date': 1509555612000},25.33,0.62,cloudy,Chicago,678.0,0.0,0.0,NoPrecip,True,False,False,1019.1,0.157573866476,0.671327433628,36.96,1509516000,2017-11-01 13,10.0,178,6.93
13,36.0,0.23,{u'$date': 1509552001000},33.12,0.69,clear-day,Chicago,713.0,0.0,0.0,NoPrecip,True,False,False,1016.23,0.212876632581,0.699579242637,42.5,1509555600,2017-11-01 12,9.91,164,11.94
14,35.26,0.12,{u'$date': 1509548400000},31.68,0.68,clear-day,Chicago,626.0,0.0,0.0,NoPrecip,True,False,False,1017.1,0.20743390144,0.699806024646,41.47,1509552000,2017-11-01 11,9.95,177,10.49
15,33.44,0.72,{u'$date': 1509544802000},30.5,0.69,partly-cloudy-day,Chicago,584.0,0.0,0.0,NoPrecip,True,False,False,1017.5,0.223035746729,0.722317351598,39.75,1509548400,2017-11-01 10,10.0,172,9.75
16,31.58,0.0,{u'$date': 1509570000000},27.36,0.68,clear-night,Chicago,714.0,0.0,0.0,NoPrecip,True,False,False,1017.92,0.19407909222,0.663585434174,36.98,1509530400,2017-11-01 17,10.0,177,6.87
17,31.21,1.0,{u'$date': 1509566400000},27.12,0.68,cloudy,Chicago,619.0,0.0,0.0,NoPrecip,True,False,False,1017.99,0.214074943929,0.685783521809,36.74,1509526800,2017-11-01 16,10.0,172,7.0
18,32.15,0.0,{u'$date': 1509562817000},26.13,0.64,clear-night,Chicago,644.0,0.0,0.0,NoPrecip,True,False,False,1018.29,0.201122922324,0.695341614907,37.04,1509523200,2017-11-01 15,10.0,173,6.12
19,31.51,0.0,{u'$date': 1509559200000},25.88,0.64,clear-night,Chicago,636.0,0.0,0.0,NoPrecip,True,False,False,1018.55,0.213143014043,0.704402515723,36.8,1509519600,2017-11-01 14,10.0,172,6.65
20,50.58,0.0,{u'$date': 1511910166000},34.42,0.54,clear-night,Chicago,11.0,0.0,0.0,NoPrecip,True,False,False,1011.71,0.521487603306,0.940909090909,50.58,1511870400,2017-11-28 18,10.0,199,8.11
21,58.97,0.86,{u'$date': 1511888440000},37.68,0.45,partly-cloudy-day,Chicago,50.0,0.0,0.0,NoPrecip,True,False,False,1012.49,0.360152958153,0.77,58.97,1511892000,2017-11-28 12,10.0,214,7.07
22,52.72,0.0,{u'$date': 1511892201000},35.5,0.52,clear-night,Chicago,35.0,0.0,0.0,NoPrecip,True,False,False,1012.01,0.358944856731,0.76,52.72,1511852400,2017-11-28 13,10.0,206,8.44
23,54.65,0.88,{u'$date': 1511881231000},35.24,0.48,partly-cloudy-day,Chicago,36.0,0.0,0.0,NoPrecip,True,False,False,1013.29,0.111640963203,0.656944444444,54.65,1511884800,2017-11-28 10,10.0,206,6.2
24,56.98,0.62,{u'$date': 1511884800000},36.44,0.46,partly-cloudy-day,Chicago,52.0,0.0,0.0,NoPrecip,True,False,False,1012.92,0.295555616259,0.705288461538,56.98,1511888400,2017-11-28 11,10.0,211,7.51
25,51.18,0.0,{u'$date': 1511902862000},34.94,0.54,clear-night,Chicago,66.0,0.0,0.0,NoPrecip,True,False,False,1011.84,0.22996726942,0.716060606061,51.18,1511863200,2017-11-28 16,10.0,206,8.15
26,50.86,0.0,{u'$date': 1511906409000},34.6,0.54,clear-night,Chicago,47.0,0.0,0.0,NoPrecip,True,False,False,1012.05,0.183893321513,0.654609929078,50.86,1511866800,2017-11-28 17,10.0,203,8.23
27,52.03,0.0,{u'$date': 1511895849000},35.51,0.53,clear-night,Chicago,39.0,0.0,0.0,NoPrecip,True,False,False,1012.19,0.153651811152,0.602564102564,52.03,1511856000,2017-11-28 14,10.0,201,8.05
28,51.64,0.0,{u'$date': 1511899217000},35.23,0.53,clear-night,Chicago,47.0,0.0,0.0,NoPrecip,True,False,False,1011.95,0.210262580209,0.685106382979,51.64,1511859600,2017-11-28 15,10.0,207,8.53
