,testAccuracy,time,trainAccuracy
16,1.0,0.0139470100403,1.0
32,0.5,0.0160088539124,1.0
64,0.3125,0.0148229598999,0.979166666667
128,0.5625,0.0156910419464,0.90625
256,0.640625,0.0201659202576,0.890625
512,0.5078125,0.0247459411621,0.848958333333
1024,0.484375,0.0436630249023,0.787760416667
2048,0.498046875,0.0685889720917,0.725911458333
4096,0.5166015625,0.117082118988,0.6689453125
8192,0.50048828125,0.165714979172,0.626627604167
16384,0.525634765625,0.324247121811,0.599446614583
32768,0.524536132812,0.515388965607,0.576171875
65536,0.526000976562,0.909729957581,0.560139973958
131072,0.533386230469,1.92912387848,0.549184163411
262144,0.535614013672,3.97922611237,0.544001261393
524288,0.536468505859,9.37199091911,0.543037414551
