,testAccuracy,time,trainAccuracy
16,1.0,0.000538110733032,0.833333333333
32,0.5,0.000450134277344,0.75
64,0.1875,0.000483989715576,0.583333333333
128,0.40625,0.000452995300293,0.583333333333
256,0.53125,0.000532150268555,0.609375
512,0.4609375,0.000648021697998,0.518229166667
1024,0.58203125,0.000900030136108,0.544270833333
2048,0.544921875,0.00135397911072,0.560546875
4096,0.5107421875,0.0021800994873,0.526692708333
8192,0.5341796875,0.00393486022949,0.537109375
16384,0.543701171875,0.00923800468445,0.538492838542
32768,0.532104492188,0.019642829895,0.527791341146
65536,0.530822753906,0.0358259677887,0.533182779948
131072,0.534240722656,0.0732460021973,0.533335367839
262144,0.535614013672,0.140618801117,0.533894856771
524288,0.535705566406,0.31849694252,0.535675048828
