params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_neighbors': 5},0.0022991001606,0.00153437256813,-0.198919967319,0.181451487141,5,19,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.000279954468119,0.000100823855388,0.0547915875656,0.0128672348651
{'n_neighbors': 10},0.00232788920403,0.00206023454666,-0.0919846131012,0.10769018721,10,18,-0.10976310965,0.112378518491,-0.10503015679,0.115954096139,-0.0427742750038,0.100343569954,-0.0595845824608,0.109944948834,-0.127364534898,0.103509753536,-0.0675321621844,0.0940154432625,-0.0972743105676,0.106812093051,-0.126754069022,0.11856307441,0.00021308971241,0.000643025701005,0.0296792473682,0.00768760974892
{'n_neighbors': 15},0.00241810083389,0.00190508365631,-0.0748581472424,0.0668011938509,15,17,-0.100590822213,0.0722530170653,-0.0648458028064,0.0721104348309,-0.0255111663143,0.0572264044091,-0.0569422427947,0.0639046787267,-0.139513659743,0.0695181382327,-0.0323272501888,0.0622929667151,-0.101182487032,0.0686409584804,-0.0780995756877,0.0684629523468,0.000226570254221,0.000128817703908,0.0357429541744,0.00489679592612
{'n_neighbors': 20},0.00223675370216,0.00204899907112,-0.0551303052525,0.0453490877446,20,16,-0.0542245843544,0.0500298520885,-0.0303693352746,0.0444615941457,-0.013037029098,0.0385629280808,-0.0436247904588,0.0452884619599,-0.10629464343,0.0445043241964,-0.0293175054595,0.0361467682846,-0.0757505825305,0.0543688681571,-0.088694895753,0.0494299050437,0.000223232849092,0.000159443279848,0.0303221244761,0.00561425257283
{'n_neighbors': 25},0.00242772698402,0.00219878554344,-0.0445564388302,0.0391210142119,25,15,-0.0664956649159,0.0461579711994,-0.0179796105968,0.0328092891793,0.0199363974875,0.0330668203257,-0.028884444041,0.0385125127553,-0.0940414684626,0.0400201443067,-0.0227063210093,0.0377013011279,-0.0615965632979,0.0441294097772,-0.0849711097826,0.0405706650235,0.000302636652672,0.000148208261657,0.0361350607834,0.0044213927097
{'n_neighbors': 30},0.00312513113022,0.00274816155434,-0.0313830203197,0.0325449046918,30,14,-0.0556786737587,0.0343848292155,-0.00904709436615,0.0309806383718,0.0242288511276,0.0278959128706,-0.0240448657179,0.0332311129439,-0.0689165864951,0.0382690396868,-0.0209409332095,0.0307352284034,-0.0366665395225,0.0329574114764,-0.0601686664419,0.0319050645661,0.00175209009719,0.000984213408118,0.0287533058424,0.0028402567013
{'n_neighbors': 35},0.00252550840378,0.00268486142159,-0.0251232181186,0.0323840557738,35,13,-0.0533181416488,0.0344941897563,-0.0096876813842,0.0340223929514,0.00230909996041,0.02810542458,-0.00552171995141,0.030710512733,-0.0468437228571,0.0335658771106,-0.0136532267236,0.0312889715893,-0.0281659459523,0.0349877887836,-0.0462251295879,0.0318972886858,0.000345712709995,0.000380126600959,0.0200923321057,0.00217533112885
{'n_neighbors': 40},0.00240856409073,0.00258493423462,-0.0167033481079,0.0297322381937,40,12,-0.0437728107565,0.0322281695309,-0.00634945035668,0.0272720007547,0.0187245006831,0.0257052880184,0.00696859359207,0.0277199747791,-0.0513364534808,0.0364063089901,-0.00554784696702,0.0255520393611,-0.017177312638,0.0317502535337,-0.0352310130871,0.0312238705819,0.000454136761618,0.000136201295522,0.0232554810338,0.00355075009029
{'n_neighbors': 45},0.0023707151413,0.0028609931469,-0.0127572708041,0.0293390463331,45,11,-0.0349916308914,0.0310224499137,-0.00994732029198,0.0307640797026,0.0225710640795,0.0259442648836,0.011526655846,0.0268321098731,-0.041406260562,0.0328382562416,0.00287215805923,0.0258039069569,-0.0190826914008,0.0310439169335,-0.033736665347,0.03046338616,0.000130424496984,0.000484802642689,0.0220445895886,0.00253934645695
{'n_neighbors': 50},0.00238481163979,0.00284576416016,-0.0104141732857,0.0298200426446,50,10,-0.0252218723556,0.0300745504521,-0.00836711370311,0.0314037030884,0.0165724244626,0.0276014939065,0.0102898257064,0.0287102433086,-0.0372266260415,0.0311957287297,-0.002085808851,0.026521647648,-0.00961748068363,0.0313089167004,-0.0277393773774,0.0317440573231,0.000274273580549,0.000171030394878,0.0175749891365,0.00185124511783
