,explained_variance,neg_mean_absolute_error,neg_mean_squared_error,neg_median_absolute_error,r2,time
16,-3.51147122454,0.129670902895,0.0196583294781,0.12919784685,-3.51152258179,0.000348806381226
32,-11.0472787145,0.0710451950037,0.00774593433837,0.0670278158087,-12.9173936104,0.000319004058838
64,-0.16231331355,0.0746750566292,0.00845678942978,0.0681861457246,-0.25886702921,0.000330924987793
128,-0.104200777777,0.0832499427768,0.01684046409,0.0554129351485,-0.104749782628,0.000463962554932
256,-0.0482187038248,0.0657212464431,0.00853054534379,0.0398464009485,-0.0498417691002,0.00075888633728
512,-0.170002166273,0.0864176023238,0.0208869798005,0.048000888481,-0.174200366457,0.000769138336182
1024,-0.16527575341,0.0774582269903,0.0119447436642,0.0575355975237,-0.174374969559,0.00124502182007
1598,-0.16435166963,0.0760150068262,0.0105413803731,0.0571672877848,-0.164979263891,0.0012640953064
2048,-0.202491425266,0.0800278608529,0.0131904459147,0.0586767365057,-0.202539354612,0.00162386894226
4096,-0.239671717311,0.0828704353195,0.0136366369444,0.0604901181603,-0.24570240899,0.00376296043396
8192,-0.183862400722,0.0778450898339,0.0118576124474,0.0583360778229,-0.184637678142,0.00861191749573
