params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'n_neighbors': 85, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.00218290090561,0.00461676716805,-0.0195065058564,0.00982240373627,ball_tree,46,85,uniform,5,0.0129670202403,0.0040881147356,-0.0276683359503,0.0129365068043,-0.047008075289,0.0125416140814,-0.00675962986205,0.00799422605222,-0.0504604480286,0.0136705643208,-0.0116880495015,0.00706693864943,-0.00174214820454,0.0101996448042,-0.0236241466713,0.0100816204422,0.000111174071496,0.00117688148634,0.0205983828183,0.00308071579874
"{'n_neighbors': 85, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.00221732258797,0.00428441166878,-0.0697908667621,0.971636151844,ball_tree,46,85,distance,13,-0.00574121853542,0.969390212838,-0.0775587122611,0.971945903075,-0.265606632867,0.979815189196,-0.0415087705231,0.970902803825,-0.0537452807876,0.968151046826,-0.038839067473,0.969604328012,-0.00106854429171,0.966099908837,-0.0739358205139,0.977179822142,6.6867851355e-05,6.66920775869e-05,0.0785013741972,0.00433346240397
"{'n_neighbors': 95, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.00271508097649,0.00493362545967,-0.0154433985663,0.00969902924213,ball_tree,46,95,uniform,1,0.00719113280327,0.00475991494699,-0.0268993695026,0.0115596832709,-0.0416994375907,0.0133331046498,0.00552037067509,0.00693014012786,-0.0402505434096,0.0142625738297,-0.0133383474156,0.008017941484,0.00182525046126,0.00915692441882,-0.0158117430288,0.00957195120911,0.00142310528255,0.000680031995924,0.0183455101688,0.00301438542968
"{'n_neighbors': 95, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'ball_tree'}",0.00260299444199,0.00528934597969,-0.066452232518,0.971636151844,ball_tree,46,95,distance,9,-0.00873440500946,0.969390212838,-0.0764364183436,0.971945903075,-0.260461898866,0.979815189196,-0.0324470220788,0.970902803825,-0.04617376444,0.968151046826,-0.0401626200612,0.969604328012,0.00152355902678,0.966099908837,-0.0683951258806,0.977179822142,0.000859377856374,0.00109250785672,0.077452280273,0.00433346240397
"{'n_neighbors': 85, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'ball_tree'}",0.00278168916702,0.00477957725525,-0.0195065058564,0.00982240373627,ball_tree,51,85,uniform,5,0.0129670202403,0.0040881147356,-0.0276683359503,0.0129365068043,-0.047008075289,0.0125416140814,-0.00675962986205,0.00799422605222,-0.0504604480286,0.0136705643208,-0.0116880495015,0.00706693864943,-0.00174214820454,0.0101996448042,-0.0236241466713,0.0100816204422,0.000852512711446,0.000930344817939,0.0205983828183,0.00308071579874
"{'n_neighbors': 85, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'ball_tree'}",0.00223988294601,0.00438830256462,-0.0697908667621,0.971636151844,ball_tree,51,85,distance,13,-0.00574121853542,0.969390212838,-0.0775587122611,0.971945903075,-0.265606632867,0.979815189196,-0.0415087705231,0.970902803825,-0.0537452807876,0.968151046826,-0.038839067473,0.969604328012,-0.00106854429171,0.966099908837,-0.0739358205139,0.977179822142,0.000127070658375,0.000282986594404,0.0785013741972,0.00433346240397
"{'n_neighbors': 95, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'ball_tree'}",0.00239941477776,0.00471547245979,-0.0154433985663,0.00969902924213,ball_tree,51,95,uniform,1,0.00719113280327,0.00475991494699,-0.0268993695026,0.0115596832709,-0.0416994375907,0.0133331046498,0.00552037067509,0.00693014012786,-0.0402505434096,0.0142625738297,-0.0133383474156,0.008017941484,0.00182525046126,0.00915692441882,-0.0158117430288,0.00957195120911,0.000558700384481,0.00064582899166,0.0183455101688,0.00301438542968
"{'n_neighbors': 95, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'ball_tree'}",0.0023033618927,0.00514984130859,-0.066452232518,0.971636151844,ball_tree,51,95,distance,9,-0.00873440500946,0.969390212838,-0.0764364183436,0.971945903075,-0.260461898866,0.979815189196,-0.0324470220788,0.970902803825,-0.04617376444,0.968151046826,-0.0401626200612,0.969604328012,0.00152355902678,0.966099908837,-0.0683951258806,0.977179822142,0.000294494818066,0.0014758590583,0.077452280273,0.00433346240397
"{'n_neighbors': 85, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.0024576485157,0.00391486287117,-0.01955815035,0.0098201136863,kd_tree,46,85,uniform,7,0.0130093126196,0.00409600591682,-0.0276087326921,0.0129008515705,-0.047008075289,0.0124661481141,-0.00670232571521,0.00800527348679,-0.0508409589347,0.0137195271428,-0.0117601379381,0.00709853027078,-0.00179273989357,0.0102084649518,-0.0236933941231,0.0100661080368,0.000359254365712,0.000514179272962,0.0206729456154,0.00306951279377
"{'n_neighbors': 85, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00260901451111,0.00438287854195,-0.0698394498287,0.971636151844,kd_tree,46,85,distance,15,-0.00563573574076,0.969390212838,-0.0776220787166,0.971945903075,-0.265606632867,0.979815189196,-0.0414698618018,0.970902803825,-0.0540592162137,0.968151046826,-0.0389073921214,0.969604328012,-0.00110192613678,0.966099908837,-0.0739898192602,0.977179822142,0.000683391475893,0.000667646474577,0.0785000817325,0.00433346240397
"{'n_neighbors': 95, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00221878290176,0.00415220856667,-0.0154565283127,0.00969573100444,kd_tree,46,95,uniform,3,0.00766451344607,0.00485229834084,-0.0269079951945,0.0115800764095,-0.0419753604253,0.0133066576079,0.00552037067509,0.00679341395232,-0.0402980447659,0.0142051844198,-0.0133785598838,0.00808937906113,0.00182525046126,0.00915455046376,-0.0160188032953,0.00958428778017,9.08948554094e-05,0.000640899407201,0.0184773902246,0.00299359034899
"{'n_neighbors': 95, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00248464941978,0.00414371490479,-0.0664682688599,0.971636151844,kd_tree,46,95,distance,11,-0.00846315097017,0.969390212838,-0.0764375096544,0.971945903075,-0.260660510411,0.979815189196,-0.0324470220788,0.970902803825,-0.0462082078752,0.968151046826,-0.0401866837564,0.969604328012,0.00152355902678,0.966099908837,-0.068537009725,0.977179822142,0.00068928211055,0.000473063302176,0.0775382142997,0.00433346240397
"{'n_neighbors': 85, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00226882100105,0.00368931889534,-0.01955815035,0.0098201136863,kd_tree,51,85,uniform,7,0.0130093126196,0.00409600591682,-0.0276087326921,0.0129008515705,-0.047008075289,0.0124661481141,-0.00670232571521,0.00800527348679,-0.0508409589347,0.0137195271428,-0.0117601379381,0.00709853027078,-0.00179273989357,0.0102084649518,-0.0236933941231,0.0100661080368,9.69573524591e-05,0.000170649729669,0.0206729456154,0.00306951279377
"{'n_neighbors': 85, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00234192609787,0.00380280613899,-0.0698394498287,0.971636151844,kd_tree,51,85,distance,15,-0.00563573574076,0.969390212838,-0.0776220787166,0.971945903075,-0.265606632867,0.979815189196,-0.0414698618018,0.970902803825,-0.0540592162137,0.968151046826,-0.0389073921214,0.969604328012,-0.00110192613678,0.966099908837,-0.0739898192602,0.977179822142,0.00021707843876,0.000201808632658,0.0785000817325,0.00433346240397
"{'n_neighbors': 95, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00256752967834,0.00400769710541,-0.0154565283127,0.00969573100444,kd_tree,51,95,uniform,3,0.00766451344607,0.00485229834084,-0.0269079951945,0.0115800764095,-0.0419753604253,0.0133066576079,0.00552037067509,0.00679341395232,-0.0402980447659,0.0142051844198,-0.0133785598838,0.00808937906113,0.00182525046126,0.00915455046376,-0.0160188032953,0.00958428778017,0.000527752221138,0.000291076278713,0.0184773902246,0.00299359034899
"{'n_neighbors': 95, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00230598449707,0.00397163629532,-0.0664682688599,0.971636151844,kd_tree,51,95,distance,11,-0.00846315097017,0.969390212838,-0.0764375096544,0.971945903075,-0.260660510411,0.979815189196,-0.0324470220788,0.970902803825,-0.0462082078752,0.968151046826,-0.0401866837564,0.969604328012,0.00152355902678,0.966099908837,-0.068537009725,0.977179822142,0.000145626187168,0.000130378167782,0.0775382142997,0.00433346240397
