params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'alpha': 1.0000000000000001e-05},0.0278661847115,0.00250738859177,-1.32943908196e+31,-1.32375524148e+31,1.0000000000000001e-05,2,-4.39801980305e+30,-5.07110589214e+30,-1.29437747784e+30,-1.36465132252e+30,-4.30887276007e+29,-3.93193289638e+29,-2.293567162e+30,-2.19646998919e+30,-1.88022427615e+31,-1.95743589864e+31,-5.09292271991e+31,-4.91790499241e+31,-1.69299216554e+31,-1.76094908763e+31,-1.12768832217e+31,-1.05120990379e+31,0.00821920561344,0.00109958807483,1.57068390587e+31,1.52193462178e+31
{'alpha': 10.00001},0.0263070166111,0.00218194723129,-1.16440509118e+31,-1.16747171902e+31,10.00001,1,-8.70308415413e+30,-9.89212967787e+30,-1.767858389e+31,-1.84840058872e+31,-8.37219681863e+30,-7.4604600344e+30,-1.59746390183e+31,-1.5388594637e+31,-1.38402619064e+31,-1.43833856935e+31,-7.13452680255e+30,-6.95508842843e+30,-8.52908264813e+30,-8.84423873515e+30,-1.29200320563e+31,-1.1989834428e+31,0.00479702309458,0.000312930850689,3.72515439075e+30,3.85388712425e+30
{'alpha': 20.00001},0.035276979208,0.00192248821259,-1.5464062393e+31,-1.54718343682e+31,20.00001,10,-1.46669574976e+31,-1.67693451132e+31,-1.31360190936e+31,-1.36851412797e+31,-7.60407563014e+30,-6.82823795618e+30,-2.14308515727e+31,-2.07648443431e+31,-1.35403880283e+31,-1.4071158891e+31,-2.14445355733e+31,-2.06352188899e+31,-1.31467103337e+31,-1.36280918316e+31,-1.87429614147e+31,-1.73926366411e+31,0.0242037253636,0.000278506349447,4.45848921621e+30,4.23253498626e+30
{'alpha': 30.00001},0.023825019598,0.00189200043678,-1.44908456613e+31,-1.46186461639e+31,30.00001,6,-1.70189671059e+31,-1.95229825004e+31,-1.37334467106e+31,-1.43307221789e+31,-1.61675393112e+31,-1.4359935944e+31,-9.80743348281e+30,-9.3460819959e+30,-1.04196738465e+31,-1.08432428404e+31,-1.57742085096e+31,-1.52511161488e+31,-2.43157655661e+31,-2.52309684068e+31,-8.68973075759e+30,-8.06411929617e+30,0.00257820426649,0.000291514537489,4.74492028181e+30,5.27066377923e+30
{'alpha': 40.000010000000003},0.0234887599945,0.00239288806915,-1.54089902188e+31,-1.52417002004e+31,40.000010000000003,9,-1.36897746264e+31,-1.56319623237e+31,-1.47269452823e+31,-1.53591810527e+31,-1.93466866601e+31,-1.70773477131e+31,-2.30516111967e+31,-2.23243306823e+31,-1.28804277372e+31,-1.33859876731e+31,-1.00407997845e+31,-9.75318386751e+30,-9.16586042359e+30,-9.50298208119e+30,-2.03698160399e+31,-1.88986262095e+31,0.00270168727218,0.00110301736413,4.69219505476e+30,4.08614788978e+30
{'alpha': 50.000010000000003},0.023079842329,0.00188624858856,-1.50512264017e+31,-1.52426262595e+31,50.000010000000003,8,-2.35611938179e+31,-2.71030987421e+31,-1.63408725926e+31,-1.70584875659e+31,-1.66948896338e+31,-1.47324621147e+31,-1.56509849332e+31,-1.51064645856e+31,-1.51589794676e+31,-1.57506858845e+31,-9.97347784491e+30,-9.69317155537e+30,-1.0379636918e+31,-1.0757799774e+31,-1.26497760058e+31,-1.17388398537e+31,0.00356680629953,0.000403214086731,4.03933666084e+30,5.09523953227e+30
{'alpha': 60.000010000000003},0.0225716531277,0.00200194120407,-1.37541607069e+31,-1.35785371078e+31,60.000010000000003,3,-1.1294962542e+31,-1.29147921617e+31,-7.29173434434e+30,-7.58090508232e+30,-1.91405928074e+31,-1.69093261021e+31,-1.75147439225e+31,-1.68786278346e+31,-1.07820067962e+31,-1.12185342243e+31,-1.47001566997e+31,-1.41792701265e+31,-1.6112203099e+31,-1.67058328622e+31,-1.31968854439e+31,-1.22410084688e+31,0.00230863991342,0.000185597484239,3.64975639478e+30,3.0801046403e+30
{'alpha': 70.000010000000003},0.022601544857,0.00199612975121,-1.43571500427e+31,-1.426506531e+31,70.000010000000003,5,-1.28364501763e+31,-1.46323728232e+31,-1.25918721799e+31,-1.31283208486e+31,-1.18655612315e+31,-1.05286163729e+31,-1.68000681751e+31,-1.62049303828e+31,-8.58604830147e+30,-8.94582702004e+30,-2.18400577306e+31,-2.1011313e+31,-1.39608135076e+31,-1.4473842955e+31,-1.63763290395e+31,-1.51952990779e+31,0.00403410831531,0.000240823623771,3.72723568924e+30,3.42538878793e+30
{'alpha': 80.000010000000003},0.0236485004425,0.00199824571609,-1.38186164363e+31,-1.36923759542e+31,80.000010000000003,4,-1.16253516214e+31,-1.32484995796e+31,-1.23957115945e+31,-1.292033106e+31,-1.48526798986e+31,-1.31796918054e+31,-1.21969961122e+31,-1.16625078964e+31,-1.44268931846e+31,-1.49861804059e+31,-1.28743207967e+31,-1.24520205895e+31,-1.13311604785e+31,-1.17458854886e+31,-2.08458178037e+31,-1.93438908085e+31,0.00165018762419,0.000279190465735,2.90182484642e+30,2.34832774528e+30
{'alpha': 90.000010000000003},0.0226445496082,0.00188437104225,-1.4973913466e+31,-1.48305538015e+31,90.000010000000003,7,-1.39762615006e+31,-1.59709381867e+31,-1.24286946329e+31,-1.29562052778e+31,-2.03507014993e+31,-1.79609822752e+31,-1.52831077462e+31,-1.47033980681e+31,-1.06446071231e+31,-1.10761688318e+31,-1.93215856026e+31,-1.86276664538e+31,-1.44415412472e+31,-1.49703793366e+31,-1.33448083764e+31,-1.23786919822e+31,0.00232808000608,0.000310653437469,3.10365609002e+30,2.47926547841e+30
