params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_epsilon,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'epsilon': 1.0000000000000001e-05},0.0306537151337,0.00280398130417,-1.99127068176e+31,-1.94257661595e+31,1.0000000000000001e-05,10,-1.5308922342e+30,-1.72649870411e+30,-2.4503716582e+31,-2.56571254602e+31,-1.45896440824e+31,-1.32642468937e+31,-3.31749316928e+31,-3.15957960923e+31,-9.37309732729e+30,-9.75669495027e+30,-1.73699686411e+31,-1.66717925924e+31,-1.97264206844e+31,-2.05268001922e+31,-3.90329832963e+31,-3.62071743904e+31,0.0067202374682,0.00146733749301,1.14365567608e+31,1.07358692128e+31
{'epsilon': 10.00001},0.0225420892239,0.00191450119019,-9.73925745715e+30,-9.4054058086e+30,10.00001,2,-4.88718971336e+29,-5.47472637444e+29,-8.52227367717e+30,-8.88145001475e+30,-2.33662648e+31,-2.04612895607e+31,-6.21265084908e+30,-5.79991681224e+30,-1.19032641859e+31,-1.23594716612e+31,-1.90345164389e+31,-1.84925649955e+31,-7.41601254943e+30,-7.79327166762e+30,-9.7035818532e+29,-9.07809119392e+29,0.0015552116236,0.000201592284424,7.57101067468e+30,6.89275633647e+30
{'epsilon': 20.00001},0.0278761982918,0.00213918089867,-1.51284500428e+31,-1.48419210602e+31,20.00001,6,-8.99328594966e+30,-1.06450805992e+31,-1.07371483253e+31,-1.11329663405e+31,-2.26801742646e+31,-2.0127371234e+31,-1.14634859292e+31,-1.06834907611e+31,-1.40502574421e+30,-1.46013227583e+30,-1.56962578848e+31,-1.53330970329e+31,-2.50354165914e+31,-2.61324495153e+31,-2.50168056532e+31,-2.32207807229e+31,0.00863560010565,0.000945290677563,7.9997391598e+30,7.52988369772e+30
{'epsilon': 30.00001},0.0252573788166,0.0023418366909,-1.78229599162e+31,-1.78982519944e+31,30.00001,8,-7.46108344348e+30,-8.5356562937e+30,-6.180320917e+30,-6.42253504857e+30,-9.73053609504e+30,-8.86061605613e+30,-1.08327120365e+31,-1.05675657145e+31,-3.394231121e+31,-3.53265956896e+31,-9.63964461141e+30,-9.44395973328e+30,-3.49544999407e+31,-3.62344887743e+31,-2.98425710753e+31,-2.77945986451e+31,0.00429591028228,0.000482069203887,1.18428842937e+31,1.20630923701e+31
{'epsilon': 40.000010000000003},0.0210418701172,0.00182282924652,-1.40468515366e+31,-1.41227331633e+31,40.000010000000003,4,-1.43796538369e+29,-1.61481297349e+29,-2.31468946459e+31,-2.41273697719e+31,-2.88849136597e+30,-2.48562389575e+30,-1.33868592947e+31,-1.29294873409e+31,-4.16900451374e+31,-4.33221567482e+31,-1.41219820094e+31,-1.36303511368e+31,-5.31659859276e+30,-5.50036865839e+30,-1.16801447088e+31,-1.08250264568e+31,0.00221304123452,0.000132895957445,1.24850947586e+31,1.30858906459e+31
{'epsilon': 50.000010000000003},0.0232476294041,0.00209924578667,-1.43662747437e+31,-1.42569621316e+31,50.000010000000003,5,-1.99294299566e+31,-2.28481294202e+31,-1.06311669362e+30,-1.10748839531e+30,-1.22878956623e+31,-1.05789074267e+31,-9.8088712363e+30,-9.5928047151e+30,-6.46141059268e+30,-6.72269609968e+30,-2.44102097934e+31,-2.36904193532e+31,-1.34173575557e+31,-1.39654751154e+31,-2.75519064588e+31,-2.55497765275e+31,0.00205786301786,0.000537408255351,8.44941663998e+30,8.33192030081e+30
{'epsilon': 60.000010000000003},0.0222209393978,0.00207498669624,-9.73766830372e+30,-9.70666638319e+30,60.000010000000003,1,-2.75831723687e+30,-3.12120261461e+30,-2.04622205911e+31,-2.12842634203e+31,-6.88380793304e+30,-6.31740035395e+30,-1.43720438458e+31,-1.38338756765e+31,-1.36368985704e+31,-1.42048362941e+31,-1.42160447431e+31,-1.36631304201e+31,-3.47100423298e+29,-3.66080503031e+29,-5.22491308605e+30,-4.8625417829e+30,0.00390546621695,0.000369460561384,6.49188816656e+30,6.63823484557e+30
{'epsilon': 70.000010000000003},0.0214746594429,0.00186583399773,-1.04817017555e+31,-1.08234142587e+31,70.000010000000003,3,-3.0881410693e+31,-3.56269222608e+31,-9.4758317377e+29,-9.84857370249e+29,-9.79234210516e+30,-8.77788090149e+30,-2.15932996869e+31,-2.08467774308e+31,-1.2293864546e+29,-1.27147295657e+29,-1.57714126279e+31,-1.53372541811e+31,-4.16304276302e+30,-4.35371623016e+30,-5.8158434844e+29,-5.32758399546e+29,0.00202776631186,0.000162532956508,1.06313990001e+31,1.17217889805e+31
{'epsilon': 80.000010000000003},0.0223497450352,0.00198629498482,-1.87489176243e+31,-1.9138317131e+31,80.000010000000003,9,-3.18402164e+31,-3.64254476372e+31,-5.54727507104e+31,-5.77945912367e+31,-2.04728624236e+31,-1.73933183391e+31,-1.98880676618e+31,-1.8843352253e+31,-5.5669412998e+30,-5.79937617445e+30,-2.72900190821e+30,-2.65477846865e+30,-1.08112640809e+31,-1.12155427375e+31,-3.21023650958e+30,-2.98013020148e+30,0.00148650270533,0.000441375955331,1.68045783292e+31,1.79226678593e+31
{'epsilon': 90.000010000000003},0.0220732390881,0.00182399153709,-1.76864501908e+31,-1.73551583705e+31,90.000010000000003,7,-3.28826304793e+29,-3.73542073795e+29,-6.48014442807e+30,-6.75608443435e+30,-8.17833554381e+30,-7.4588384559e+30,-2.47030508825e+31,-2.40705810833e+31,-2.12671024088e+31,-2.18920881331e+31,-1.47990971077e+31,-1.42092669156e+31,-2.78295755278e+31,-2.8897590369e+31,-3.79054693228e+31,-3.51832754988e+31,0.00145776938354,0.000161170515854,1.17226006587e+31,1.1320885411e+31
