params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_l1_ratio,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'l1_ratio': 0.0},0.0280134379864,0.00241565704346,-1.32914414852e+31,-1.35628906267e+31,0.0,4,-2.03091275383e+31,-2.28756719914e+31,-3.5886194588e+30,-3.72775666924e+30,-9.57915080111e+30,-8.4493778703e+30,-3.18498421922e+30,-2.93997362227e+30,-1.97097961498e+31,-2.04661953712e+31,-1.3598591374e+31,-1.34505312769e+31,-2.56189032022e+31,-2.6606246282e+31,-1.07423591379e+31,-9.98737192992e+30,0.00963501792633,0.000923602618662,7.57518980175e+30,8.31439893215e+30
{'l1_ratio': 0.10000000000000001},0.0222702026367,0.0018672645092,-1.19449793298e+31,-1.1852225866e+31,0.10000000000000001,1,-5.79517606024e+28,-6.6196207625e+28,-2.4713753289e+31,-2.57219461137e+31,-1.40660580696e+31,-1.25231488484e+31,-1.61582446377e+31,-1.54056447988e+31,-1.01207181648e+31,-1.04401717473e+31,-1.58311395073e+31,-1.56385146366e+31,-1.2895898539e+31,-1.34329613432e+31,-1.71607067035e+30,-1.58922323284e+30,0.00236866228459,8.91470658129e-05,7.50465340519e+30,7.65273142252e+30
{'l1_ratio': 0.20000000000000001},0.0288509726524,0.00306960940361,-1.70385681848e+31,-1.6537574191e+31,0.20000000000000001,5,-4.16043887757e+30,-4.66184831657e+30,-2.0284648895e+31,-2.116283099e+31,-4.690646443e+30,-4.2698073049e+30,-3.46299710412e+31,-3.30237923759e+31,-8.77301068236e+30,-9.11687646705e+30,-2.02845346908e+31,-1.96329151594e+31,-7.84007440992e+29,-8.22068763573e+29,-4.27012874072e+31,-3.96104541508e+31,0.00776523275859,0.00167293958224,1.43176181786e+31,1.33636734789e+31
{'l1_ratio': 0.30000000000000004},0.0211821496487,0.00193420052528,-2.35260346404e+31,-2.36324474055e+31,0.30000000000000004,9,-1.62669933262e+31,-1.83480978523e+31,-3.26923713981e+31,-3.40663725444e+31,-1.01711588913e+31,-9.32390534193e+30,-3.59994713897e+30,-3.32988375447e+30,-1.05616362616e+31,-1.10091259289e+31,-4.01490518544e+31,-3.87225952366e+31,-4.40914348018e+31,-4.57277191292e+31,-3.06756834508e+31,-2.8531879456e+31,0.00209053235817,0.00021151406528,1.42766004719e+31,1.43743951369e+31
{'l1_ratio': 0.40000000000000002},0.0221126973629,0.00194290280342,-2.03835727945e+31,-2.0068982521e+31,0.40000000000000002,7,-1.10971659255e+31,-1.2431410132e+31,-4.306813267e+30,-4.43650434312e+30,-1.14170482443e+31,-1.00447448633e+31,-1.29908542807e+31,-1.25798790083e+31,-4.45510179268e+31,-4.63281856163e+31,-2.89704259425e+31,-2.78764910942e+31,-5.81994180428e+30,-6.07499577612e+30,-4.39153149651e+31,-4.07796493348e+31,0.00222200139809,0.000236157767893,1.54247856038e+31,1.51432543573e+31
{'l1_ratio': 0.5},0.024525642395,0.00295034050941,-2.33478959642e+31,-2.36024775246e+31,0.5,8,-1.0175266566e+31,-1.15077303068e+31,-3.78203938397e+31,-3.94693268425e+31,-1.09130080819e+30,-9.84734513664e+29,-3.95451433456e+30,-3.57209691246e+30,-3.20496495113e+31,-3.3385359642e+31,-2.75100715531e+31,-2.64761784276e+31,-4.12784941281e+31,-4.28416435309e+31,-3.29034769726e+31,-3.05827500208e+31,0.00666736360847,0.00177880213638,1.48336203367e+31,1.51395628902e+31
{'l1_ratio': 0.60000000000000009},0.0211519896984,0.00186878442764,-1.29994025303e+31,-1.28428917501e+31,0.60000000000000009,2,-5.70856003891e+30,-6.52616834521e+30,-2.67832091745e+31,-2.80169973967e+31,-1.90425807093e+31,-1.65515599871e+31,-1.2680171506e+31,-1.22738697395e+31,-7.29328100235e+30,-7.52367036082e+30,-3.96659389334e+30,-3.92911559851e+30,-1.31796864045e+31,-1.37063418281e+31,-1.53411375137e+31,-1.42154107448e+31,0.00175049411228,0.000139648569285,7.06611014419e+30,7.02327700211e+30
{'l1_ratio': 0.70000000000000007},0.0217761397362,0.00201171636581,-1.30276107819e+31,-1.29660412364e+31,0.70000000000000007,3,-1.69230169918e+31,-1.93077238751e+31,-1.29810295757e+31,-1.35612234934e+31,-2.74817346017e+31,-2.41720443759e+31,-5.75912282814e+29,-5.5747702658e+29,-4.57691798924e+30,-4.7400610408e+30,-1.08661748469e+31,-1.04325744869e+31,-2.16651395709e+31,-2.24635674311e+31,-9.15096039647e+30,-8.49365816157e+30,0.00234551023628,0.000194460927753,8.25275852387e+30,7.94047047453e+30
{'l1_ratio': 0.80000000000000004},0.0224666297436,0.00191363692284,-2.85984437581e+31,-2.89672713652e+31,0.80000000000000004,10,-2.0979032367e+31,-2.46422506351e+31,-1.92673701494e+31,-2.01248523346e+31,-1.70806182966e+31,-1.47410505073e+31,-1.38014597819e+31,-1.29771279247e+31,-7.93391819752e+31,-8.26752000598e+31,-2.99001723334e+31,-2.87600764873e+31,-2.48490813658e+31,-2.58771906255e+31,-2.35706337956e+31,-2.19404223474e+31,0.00183989014507,0.000258370231446,1.97243155973e+31,2.09119402682e+31
{'l1_ratio': 0.90000000000000002},0.0210229754448,0.00184416770935,-1.83955461129e+31,-1.83445215608e+31,0.90000000000000002,6,-2.12848423379e+31,-2.42248670708e+31,-1.66725622981e+31,-1.74672642284e+31,-3.45107694001e+31,-3.04817268186e+31,-3.25130522985e+31,-3.14923307821e+31,-8.02542235351e+30,-8.34312930772e+30,-8.20885920532e+30,-8.22387781385e+30,-2.15452502868e+31,-2.24423927428e+31,-4.40361072258e+30,-4.08058372219e+30,0.002224363338,0.000201055434714,1.05316431392e+31,9.863014437e+30
