params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_epsilon,param_fit_intercept,param_l1_ratio,param_learning_rate,param_loss,param_penalty,param_random_state,param_shuffle,param_verbose,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'huber', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0336541235447,0.00264137983322,-85705826500.2,-85756346621.1,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,56,True,12,799,-77377235288.5,-70564803695.4,-17618808995.9,-17205275453.9,-35770897681.3,-40439298661.0,-1.40440211695e+11,-1.2938577813e+11,-1.15718447572e+11,-1.29634347102e+11,-85346191296.1,-73532576763.5,-1.24602184266e+11,-1.43469865618e+11,-88772635207.0,-81818827545.9,0.0119308055971,0.00110518515572,39714254599.5,42291027818.3
"{'loss': 'huber', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0340911149979,0.00291687250137,-85705826500.2,-85756346621.1,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,56,True,4,799,-77377235288.5,-70564803695.4,-17618808995.9,-17205275453.9,-35770897681.3,-40439298661.0,-1.40440211695e+11,-1.2938577813e+11,-1.15718447572e+11,-1.29634347102e+11,-85346191296.1,-73532576763.5,-1.24602184266e+11,-1.43469865618e+11,-88772635207.0,-81818827545.9,0.0069759280948,0.00141129829683,39714254599.5,42291027818.3
"{'loss': 'huber', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0328493714333,0.00254556536674,-69778384920.0,-67784852427.4,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,56,False,12,781,-46749772431.4,-42662017257.4,-35603304289.1,-34916323427.4,-81370778855.4,-92265028082.4,-1.89337773445e+11,-1.74490540512e+11,-43979498280.6,-48555345364.6,-1.04346564415e+11,-89092716181.1,-35994629576.3,-41413378165.2,-20844758067.1,-18883470428.6,0.0172240984624,0.000771631808793,51869388441.5,46914121982.5
"{'loss': 'huber', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0319835543633,0.00285461544991,-69778384920.0,-67784852427.4,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,56,False,4,781,-46749772431.4,-42662017257.4,-35603304289.1,-34916323427.4,-81370778855.4,-92265028082.4,-1.89337773445e+11,-1.74490540512e+11,-43979498280.6,-48555345364.6,-1.04346564415e+11,-89092716181.1,-35994629576.3,-41413378165.2,-20844758067.1,-18883470428.6,0.00589460445322,0.0012510055516,51869388441.5,46914121982.5
"{'loss': 'huber', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0351104140282,0.0029402077198,-98380260069.9,-1.0139176537e+11,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,76,True,12,823,-1.15596023498e+11,-1.05391946416e+11,-1.08464210708e+11,-1.06966066302e+11,-1.05818395073e+11,-1.19474433435e+11,-69417936029.9,-64515877262.6,-1.9826593308e+11,-2.26001026269e+11,-82674783343.0,-71076760897.8,-83945578964.0,-96123833165.9,-22859219864.1,-21584179215.3,0.00747388693759,0.000837748686688,46674146806.9,55427156704.6
"{'loss': 'huber', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0326161980629,0.00311613082886,-98380260069.9,-1.0139176537e+11,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,76,True,4,823,-1.15596023498e+11,-1.05391946416e+11,-1.08464210708e+11,-1.06966066302e+11,-1.05818395073e+11,-1.19474433435e+11,-69417936029.9,-64515877262.6,-1.9826593308e+11,-2.26001026269e+11,-82674783343.0,-71076760897.8,-83945578964.0,-96123833165.9,-22859219864.1,-21584179215.3,0.0095271336255,0.00121008380385,46674146806.9,55427156704.6
"{'loss': 'huber', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0381839573383,0.00313475728035,-69778384920.0,-67784852427.4,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,76,False,12,781,-46749772431.4,-42662017257.4,-35603304289.1,-34916323427.4,-81370778855.4,-92265028082.4,-1.89337773445e+11,-1.74490540512e+11,-43979498280.6,-48555345364.6,-1.04346564415e+11,-89092716181.1,-35994629576.3,-41413378165.2,-20844758067.1,-18883470428.6,0.0254668409514,0.00124921284404,51869388441.5,46914121982.5
"{'loss': 'huber', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0308498442173,0.00366112589836,-69778384920.0,-67784852427.4,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,none,76,False,4,781,-46749772431.4,-42662017257.4,-35603304289.1,-34916323427.4,-81370778855.4,-92265028082.4,-1.89337773445e+11,-1.74490540512e+11,-43979498280.6,-48555345364.6,-1.04346564415e+11,-89092716181.1,-35994629576.3,-41413378165.2,-20844758067.1,-18883470428.6,0.00484920703251,0.00258557957263,51869388441.5,46914121982.5
"{'loss': 'huber', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0359981954098,0.00294080376625,-4.1909133967,-4.71459169123,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,True,12,49,-0.359593471939,-0.309028772227,-0.237474529908,-0.220887348583,-0.213194157697,-0.244036403884,-0.119085027095,-0.132377060947,-0.299534237116,-0.28124982577,-0.267936435285,-0.252604256201,-29.8172746527,-34.1770017174,-2.21321466186,-2.09954814481,0.00614421432172,0.00130938265354,9.70737471828,11.1524707359
"{'loss': 'huber', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0443795919418,0.0038914680481,-4.1909133967,-4.71459169123,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,True,4,49,-0.359593471939,-0.309028772227,-0.237474529908,-0.220887348583,-0.213194157697,-0.244036403884,-0.119085027095,-0.132377060947,-0.299534237116,-0.28124982577,-0.267936435285,-0.252604256201,-29.8172746527,-34.1770017174,-2.21321466186,-2.09954814481,0.0104359421244,0.00225495780704,9.70737471828,11.1524707359
"{'loss': 'huber', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0342164933681,0.0023053586483,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,False,12,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00641906090085,0.000392927108695,1.27127572083,1.30796984267
"{'loss': 'huber', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0322510898113,0.00415116548538,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,False,4,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00735986288215,0.00320871112411,1.27127572083,1.30796984267
"{'loss': 'huber', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0426596701145,0.00248059630394,-1.27165830581,-1.17378015611,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,True,12,39,-4.2743641162,-3.8274003999,-0.741241818784,-0.70733003479,-0.000165516680638,-0.000273744982846,-1.605920163,-1.5584315997,-0.388610517669,-0.373929870141,-1.43888228216,-1.28165158834,-0.000676694898264,-0.00107988756736,-1.72340533705,-1.64014412348,0.0138183461794,0.000749253277379,1.30638889814,1.17412031643
"{'loss': 'huber', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0380517244339,0.00329264998436,-1.27165830581,-1.17378015611,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,True,4,39,-4.2743641162,-3.8274003999,-0.741241818784,-0.70733003479,-0.000165516680638,-0.000273744982846,-1.605920163,-1.5584315997,-0.388610517669,-0.373929870141,-1.43888228216,-1.28165158834,-0.000676694898264,-0.00107988756736,-1.72340533705,-1.64014412348,0.0171408085234,0.00196387748724,1.30638889814,1.17412031643
