params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'random_state': 0},0.0230914652348,0.00173962116241,-3.48005850735e+31,-3.49734165383e+31,0,24,-3.51702336663e+31,-4.05067822984e+31,-5.57313860831e+31,-5.80822158411e+31,-5.06010782963e+31,-4.41855990912e+31,-3.83742993422e+31,-3.68879561774e+31,-5.08408039631e+31,-5.28436090191e+31,-2.35815135254e+31,-2.27878776918e+31,-2.03243672925e+31,-2.09862895352e+31,-3.7809984188e+30,-3.50700265184e+30,0.00417320048301,5.96762465516e-05,1.67913441862e+31,1.69807632787e+31
{'random_state': 4},0.0241702497005,0.00219202041626,-1.50514908574e+31,-1.4880350352e+31,4,11,-5.60065736169e+30,-6.53025422586e+30,-3.45418966109e+31,-3.60107526951e+31,-1.21068685931e+31,-1.06384248326e+31,-9.82019306661e+30,-9.5261395798e+30,-1.04249261382e+31,-1.08947222682e+31,-2.87270702986e+30,-2.76557966958e+30,-7.66059643955e+30,-7.9422259601e+30,-3.73840816191e+31,-3.4734703585e+31,0.00445267783081,0.000908835674618,1.23911725338e+31,1.20823493467e+31
{'random_state': 8},0.0252335071564,0.0021598637104,-1.74390064842e+31,-1.72355877208e+31,8,14,-9.22115566032e+30,-1.08661475593e+31,-1.91509179862e+31,-1.99960097228e+31,-1.35213301815e+31,-1.16166703478e+31,-1.17678571266e+31,-1.13924602089e+31,-9.41380985832e+30,-9.67987258685e+30,-1.41573480839e+31,-1.36274867469e+31,-2.65949751856e+31,-2.7545138382e+31,-3.56846577909e+31,-3.31609162119e+31,0.00580972653448,0.000261169092928,8.73128321762e+30,8.24556104349e+30
{'random_state': 12},0.0237660109997,0.00189065933228,-1.39198928275e+31,-1.35334559865e+31,12,10,-1.06044974278e+31,-1.21918584509e+31,-9.29844801096e+30,-9.73610960116e+30,-2.56875516732e+31,-2.259472496e+31,-3.81351193892e+30,-3.50825354285e+30,-8.06812220641e+30,-8.40599679595e+30,-1.24933358114e+31,-1.20567645874e+31,-1.24415231768e+31,-1.29163762151e+31,-2.89521523744e+31,-2.68575637385e+31,0.00316069749066,0.000193871251769,8.19602812688e+30,7.11701388428e+30
{'random_state': 16},0.0217047631741,0.00192573666573,-4.28723173638e+31,-4.24979961006e+31,16,25,-3.71259605786e+31,-4.230725243e+31,-3.73042301838e+31,-3.89303873434e+31,-8.43392431851e+31,-7.55325348932e+31,-3.5310907499e+31,-3.43715117265e+31,-4.36769386092e+31,-4.53694918514e+31,-3.94320981151e+31,-3.80096832008e+31,-4.0342786279e+31,-4.18322405235e+31,-2.54463744611e+31,-2.36308668363e+31,0.00302810506187,0.000229953249893,1.64440323702e+31,1.39413367123e+31
{'random_state': 20},0.0204249322414,0.00189727544785,-1.17432959032e+31,-1.16253601467e+31,20,7,-1.54242148289e+31,-1.75357658905e+31,-1.09824338766e+31,-1.14213540003e+31,-1.66992255817e+31,-1.49511740915e+31,-8.33504730075e+30,-7.99253555415e+30,-3.40710450186e+30,-3.53243131769e+30,-1.3202080204e+31,-1.26839149941e+31,-8.01017885354e+30,-8.27747359816e+30,-1.78860820781e+31,-1.66082317275e+31,0.00182904283717,0.000197823739362,4.65826679528e+30,4.49842133987e+30
{'random_state': 24},0.0230878889561,0.00278946757317,-1.30021172134e+31,-1.28727278251e+31,24,9,-5.03397344524e+30,-5.67498915582e+30,-8.65992348465e+30,-9.03067047316e+30,-1.43833648977e+31,-1.28401518777e+31,-7.38630851837e+30,-7.06821114142e+30,-1.83201342157e+31,-1.91059546692e+31,-1.47566946347e+31,-1.45699255668e+31,-1.68996452913e+31,-1.74727545618e+31,-1.85768932197e+31,-1.72191651546e+31,0.00447693640196,0.00189403714012,4.91705975858e+30,4.7703207737e+30
{'random_state': 28},0.0218887329102,0.00183004140854,-3.18422064787e+31,-3.13539407252e+31,28,22,-7.03456178812e+30,-7.89432037864e+30,-4.02289166154e+31,-4.20102022521e+31,-2.2436705736e+31,-1.98282120176e+31,-4.17392842592e+31,-4.04739111625e+31,-3.82072949238e+31,-3.96366810752e+31,-3.95219419284e+31,-3.80050442061e+31,-1.92416208974e+31,-1.99680032055e+31,-4.63273256811e+31,-4.30151515038e+31,0.00238239028496,0.00021249094317,1.29434242842e+31,1.25418816112e+31
{'random_state': 32},0.020704716444,0.00207784771919,-1.14758240164e+31,-1.13877362967e+31,32,6,-4.99796336355e+30,-5.76282156322e+30,-1.42680402502e+31,-1.48695922308e+31,-9.57303284519e+30,-8.26739034749e+30,-2.2204020145e+31,-2.15950125535e+31,-6.9856172553e+30,-7.27006984234e+30,-5.54919272689e+30,-5.37154759043e+30,-1.62557582457e+31,-1.68610831944e+31,-1.19729672991e+31,-1.11043730514e+31,0.00177777786906,0.00053895655509,5.55490542707e+30,5.48720737832e+30
{'random_state': 36},0.0224608182907,0.00183495879173,-2.33497053001e+31,-2.31524843834e+31,36,19,-3.61775733859e+30,-4.037845693e+30,-3.85733643861e+31,-4.01663802983e+31,-1.56478587132e+31,-1.38219355542e+31,-4.75355042621e+31,-4.573100965e+31,-3.22273481938e+31,-3.34751749505e+31,-1.24093892607e+31,-1.20329502583e+31,-1.65404717964e+31,-1.72049704082e+31,-2.024594845e+31,-1.8749608255e+31,0.00300028343253,0.000167166491674,1.37835178043e+31,1.3859343561e+31
