params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_verbose,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'verbose': 0},0.0312786102295,0.00250223278999,-1.55480404908e+31,-1.55886010459e+31,0,12,-2.74033247712e+31,-3.14427659627e+31,-1.19197739104e+31,-1.24692799539e+31,-1.07570312186e+31,-9.80779405216e+30,-1.39668140565e+31,-1.36623928781e+31,-1.56577966542e+30,-1.63058967603e+30,-1.58264076378e+31,-1.52042072324e+31,-5.83633757394e+30,-6.03339597611e+30,-3.71088550927e+31,-3.44583826359e+31,0.0126610139531,0.00137583834235,1.08047046265e+31,1.08429536905e+31
{'verbose': 4},0.030384272337,0.00326570868492,-9.1775035058e+30,-9.03179312173e+30,4,2,-2.01740736431e+30,-2.26989552539e+30,-4.59047604878e+30,-4.76511806432e+30,-9.72118403505e+30,-8.35996984853e+30,-3.48369172396e+30,-3.40254832398e+30,-2.9766012682e+31,-3.09162072997e+31,-3.81322789023e+30,-3.64843553523e+30,-2.8074776084e+30,-2.89917164437e+30,-1.72205506936e+31,-1.59929987323e+31,0.00866699717814,0.002481196322,9.10324722112e+30,9.28737766547e+30
{'verbose': 8},0.0334961414337,0.00307539105415,-2.81479889584e+31,-2.89997936534e+31,8,23,-8.83900750549e+31,-9.98764974341e+31,-7.8896863718e+30,-8.22404494654e+30,-1.4059227512e+31,-1.21965280967e+31,-2.23398291971e+31,-2.12442928458e+31,-1.04694580699e+31,-1.08832197121e+31,-4.57198634425e+31,-4.43192630217e+31,-1.39062129849e+31,-1.44770082294e+31,-2.24095590338e+31,-2.07774949409e+31,0.00636347651693,0.00101457631586,2.5319939445e+31,2.880766019e+31
{'verbose': 12},0.0341629087925,0.00257882475853,-6.24346756705e+30,-6.33174873076e+30,12,1,-2.54534519359e+30,-2.96402104069e+30,-1.89518140635e+31,-1.97184930073e+31,-1.33635984241e+30,-1.16060667752e+30,-1.15125548929e+31,-1.0583659291e+31,-1.27260408479e+31,-1.3285679751e+31,-9.0481105455e+29,-8.91121252903e+29,-1.88098013551e+30,-1.96766582643e+30,-8.98345059904e+28,-8.27429992593e+28,0.00915704797515,0.000753213686121,6.65624399881e+30,6.81376219391e+30
{'verbose': 16},0.0338089764118,0.00246477127075,-2.98778909177e+31,-3.01251680216e+31,16,24,-5.52254859256e+31,-6.3072675408e+31,-3.23679813937e+31,-3.3806541627e+31,-3.33606601763e+31,-2.93759719838e+31,-4.8209372373e+30,-4.44130357573e+30,-1.25131816896e+30,-1.30455721452e+30,-4.04355911014e+31,-3.88567978776e+31,-3.35052861293e+31,-3.48568886201e+31,-3.80558672089e+31,-3.52866078659e+31,0.00746113536943,0.000558106320909,1.69545890744e+31,1.84228511315e+31
{'verbose': 20},0.0294423699379,0.00257536768913,-1.72189867143e+31,-1.67405195767e+31,20,13,-5.0364890188e+30,-5.62246707462e+30,-1.33550979369e+30,-1.38445360267e+30,-6.73353202391e+30,-5.75147884868e+30,-4.08463362931e+31,-3.96911172451e+31,-2.45194717299e+31,-2.54071899999e+31,-2.54781271252e+31,-2.44133632376e+31,-3.13090138844e+30,-3.24974574844e+30,-3.06715263414e+31,-2.84043408563e+31,0.00465986858081,0.000482077244181,1.40082562697e+31,1.35043428871e+31
{'verbose': 24},0.037543207407,0.00214576721191,-1.38820162835e+31,-1.38225868615e+31,24,7,-1.6511377016e+31,-1.92643940771e+31,-3.41086436116e+31,-3.57480076384e+31,-2.01405937372e+31,-1.71179630068e+31,-1.34194068903e+30,-1.30917342562e+30,-1.73461500681e+30,-1.80916891549e+30,-7.48497850683e+30,-7.24207588861e+30,-4.08851504613e+30,-4.26137272718e+30,-2.56454666548e+31,-2.38285392127e+31,0.0265460950161,0.000187346036547,1.13755558095e+31,1.14942572365e+31
{'verbose': 28},0.0283416807652,0.00255826115608,-9.96434065432e+30,-1.01108836994e+31,28,3,-1.37679574016e+31,-1.58297513952e+31,-1.4806214474e+31,-1.5290836192e+31,-3.34112044766e+30,-2.85453802629e+30,-7.23236579502e+30,-6.69235623272e+30,-1.29236575101e+31,-1.3412027997e+31,-6.87590547327e+30,-6.67448546823e+30,-7.42097503078e+30,-7.72238070543e+30,-1.33465291021e+31,-1.2410693578e+31,0.00673849269118,0.000747381948604,3.95989063132e+30,4.43816821197e+30
{'verbose': 32},0.0400707125664,0.00266337394714,-1.40036425892e+31,-1.39844585355e+31,32,8,-1.12716302536e+31,-1.28578457634e+31,-5.58690185425e+30,-5.82810087656e+30,-1.15164783178e+31,-1.05712725561e+31,-1.71865040335e+31,-1.63779516778e+31,-3.10734704417e+31,-3.21301822623e+31,-9.92525259585e+30,-9.54040508702e+30,-9.16132529586e+30,-9.49970882038e+30,-1.63075779207e+31,-1.50702012404e+31,0.0301380190604,0.00120389166415,7.34328308491e+30,7.54555160676e+30
{'verbose': 36},0.0351179540157,0.00251746177673,-1.25953428374e+31,-1.29655803885e+31,36,5,-2.36185638444e+31,-2.6820961196e+31,-5.98438256278e+30,-6.23771894916e+30,-2.76977981477e+30,-2.53905487125e+30,-2.15276331345e+31,-2.06119349171e+31,-2.4291393394e+31,-2.52225118227e+31,-7.52316633116e+30,-7.50913381084e+30,-7.14820363593e+30,-7.45917655355e+30,-7.89961998167e+30,-7.32415098727e+30,0.00885008536273,0.000782130222786,8.33508703866e+30,8.99003792488e+30
