params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_depth': 1},0.0331974029541,0.00750884413719,0.0281986416329,0.0467953320155,1,3,0.0456565694659,0.049318811478,-0.0428343064439,0.0454346916769,0.0516372624271,0.0446479008942,0.0528275632939,0.0430172338698,0.0107586001669,0.0495500033535,0.0458913745486,0.0478161198423,0.0409657870155,0.0492439081743,0.0207126885509,0.0453339868349,0.00137350447886,0.00173431003022,0.0303123989495,0.002341635477
{'max_depth': 2},0.0393554270267,0.00650396943092,0.040671399081,0.0810480705907,2,2,0.0442580742774,0.0891768869027,-0.00467740864074,0.0825303260189,0.0519659272955,0.0731690476179,0.0731480552913,0.0762106285663,0.0220471370605,0.0816261716646,0.0465523840246,0.0886387545003,0.0410135782446,0.0802898278874,0.0511173859251,0.0767429215675,0.00271995616024,0.000610119187479,0.0216405289928,0.00537141167791
{'max_depth': 3},0.0477411150932,0.00750538706779,0.0423110201153,0.131695944905,3,1,0.0403589382287,0.137618791774,-0.00913097323749,0.144622884559,0.0788833675145,0.126897344786,0.078540089633,0.124968526371,0.0225651149277,0.1280491023,0.0372818420163,0.138899522592,0.0292584979079,0.133592088922,0.0607582575079,0.118919297936,0.00331514598709,0.00235989340373,0.0279089354551,0.00792543113533
{'max_depth': 4},0.0516035556793,0.00688993930817,0.0117094018371,0.20182663105,4,4,0.0222803692267,0.206794841478,-0.161514412184,0.228771466848,0.0702760348759,0.18783334779,0.0381464308224,0.203021975177,0.00967743106841,0.203457356994,0.0369824660039,0.211101090605,0.0237886317425,0.189360239902,0.0543116706348,0.184272729605,0.00207711326912,0.00112465480106,0.0679036308006,0.0136938551289
{'max_depth': 5},0.0621758103371,0.00653553009033,-0.0357600703236,0.266256328651,5,5,0.00161456041654,0.265959842244,-0.414963283965,0.311345697483,0.0348950276439,0.255642044765,0.0159348896072,0.255244897844,-0.029846613073,0.268019588154,0.0125828803971,0.266958482724,0.0276520864653,0.256624629349,0.0668801518134,0.250255446646,0.00940468468753,0.000184597307372,0.145741296211,0.018095074183
{'max_depth': 6},0.0633369684219,0.0074597299099,-0.0648498051095,0.331589821749,6,6,0.00616835605713,0.325320997037,-0.541555637367,0.367077647164,0.0239555986421,0.325515038492,-0.0257881390439,0.321596781697,-0.0306326552179,0.335218487826,-0.0057245089708,0.327356557348,-0.0111379204101,0.330321125521,0.06684349134,0.320311938905,0.00180236991912,0.00118181144225,0.182630551532,0.0141215072388
{'max_depth': 7},0.0674732625484,0.00701424479485,-0.105757677211,0.389187537241,7,7,-0.0915328473599,0.383887321571,-0.639192895713,0.411457486833,-0.0144611044816,0.390412333488,-0.0459103835511,0.376710699628,-0.0881322362603,0.397027790211,-0.0151868467955,0.38640808901,-0.0291461178836,0.385150613557,0.0788068950143,0.382445963634,0.00219342224585,0.000790872102852,0.207771330705,0.0100756824228
{'max_depth': 8},0.0733373463154,0.00672927498817,-0.144335676721,0.441001201821,8,8,-0.131366746091,0.43479991568,-0.708911510596,0.461916714283,-0.027701900718,0.449295790062,-0.0748505157809,0.435138040488,-0.159861926936,0.452313590014,-0.0484540564051,0.432975487838,-0.0778940574616,0.434042209207,0.0757881273417,0.427527866998,0.00177902223775,0.000761857690208,0.223574520258,0.0111883421878
{'max_depth': 9},0.0789906680584,0.00738647580147,-0.172182956238,0.479181138014,9,9,-0.212248132822,0.481176097221,-0.666208275148,0.506738844316,-0.0379681254262,0.479164475233,-0.112091854586,0.473897958418,-0.203738374985,0.493548906529,-0.0988964576833,0.463981787959,-0.103617277914,0.47205048451,0.0588026048591,0.462890549926,0.00246030376187,0.00134943165236,0.203665642488,0.0138969501914
{'max_depth': 10},0.0842969715595,0.00753048062325,-0.235873184256,0.508357271146,10,10,-0.306599892743,0.514788948455,-0.798242635781,0.530336355177,-0.116908217013,0.50941420409,-0.177523908413,0.507429912074,-0.238194397061,0.525215124182,-0.137958311788,0.48756174287,-0.132000110855,0.501482982571,0.022251990845,0.490628899753,0.00256827207319,0.00112775427062,0.230752919373,0.0141625205687
{'max_depth': 11},0.0883920192719,0.00809660553932,-0.268202272104,0.531118398311,11,11,-0.364737940612,0.538119161636,-0.778253317048,0.548808695817,-0.118761200597,0.527760031033,-0.190480688035,0.529677564714,-0.327631063572,0.549310439891,-0.167642544176,0.509560521865,-0.170539049016,0.532847044949,-0.0258724083429,0.512863726583,0.00248232459945,0.00201593085554,0.217911660988,0.0137260045992
{'max_depth': 12},0.0925269424915,0.00720489025116,-0.31234726322,0.544024181912,12,12,-0.465743010277,0.552057733452,-0.797489598957,0.561710941551,-0.159728992513,0.537325306355,-0.26139585709,0.541030167825,-0.403295292166,0.562673120629,-0.172127881601,0.523344482449,-0.208498254249,0.546715935999,-0.0285610427631,0.52733576704,0.00298504530264,0.000597051119473,0.224744990196,0.0136582396701
{'max_depth': 13},0.0961307585239,0.00753712654114,-0.342448494492,0.55519107906,13,13,-0.507850523923,0.565073105461,-0.881496708298,0.570190242001,-0.204829330089,0.544352204396,-0.265291368896,0.555201514053,-0.433514630794,0.573186524784,-0.198379974226,0.53378804757,-0.225796246489,0.560969985241,-0.0202348437223,0.538767008973,0.00261294065384,0.000770971046382,0.247317037995,0.0138075265084
