params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_leaf_nodes,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_leaf_nodes': 2},0.04562073946,0.00681862235069,0.0281986416329,0.0467953320155,2,5,0.0456565694659,0.049318811478,-0.0428343064439,0.0454346916769,0.0516372624271,0.0446479008942,0.0528275632939,0.0430172338698,0.0107586001669,0.0495500033535,0.0458913745486,0.0478161198423,0.0409657870155,0.0492439081743,0.0207126885509,0.0453339868349,0.0113264281496,0.000719579452555,0.0303123989495,0.002341635477
{'max_leaf_nodes': 3},0.0466016232967,0.00670200586319,0.0378389389088,0.0666934811263,3,3,0.041011345765,0.0690582314854,-0.0112899502839,0.0679544432978,0.0557684214153,0.0626499653974,0.0709585186362,0.0630086140819,0.019110489471,0.0674359463679,0.0516646835485,0.0695453120321,0.0370621405682,0.0686662603271,0.0384249080042,0.0652290760207,0.00376016742405,0.000645474533572,0.0234265365658,0.00254536020738
{'max_leaf_nodes': 4},0.0447840988636,0.00608903169632,0.0440999787724,0.0884316511321,4,1,0.0351069848365,0.0980851195631,-0.00201527357022,0.092133130375,0.0623358961227,0.0855621353618,0.0856019396256,0.0822085204015,0.0303812986892,0.0865251793976,0.051985207534,0.0896087875733,0.0411985686388,0.090968467027,0.0482112576466,0.0823618693572,0.00398904295557,0.000250823788603,0.0238319761883,0.00502680127586
{'max_leaf_nodes': 5},0.0501947999001,0.00711911916733,0.0391131063321,0.10745470062,5,2,0.0454085175908,0.113873744589,-0.0374644318744,0.117101507957,0.0649531707484,0.10758109025,0.0728262404657,0.10337243098,0.0261226606466,0.11155382011,0.0414472095328,0.10962742534,0.0501851411121,0.103697177726,0.0495338061076,0.0928304080078,0.00560880116999,0.000892244707643,0.0318637993459,0.00707511787029
{'max_leaf_nodes': 6},0.0505631268024,0.00737476348877,0.0345053140138,0.125212930972,6,4,0.0303861306162,0.13648133287,-0.0693377128694,0.141187714876,0.0642659345153,0.122586358885,0.0749589499855,0.119262944055,0.0302071976924,0.125715171189,0.0425713428568,0.128924809345,0.0525838059437,0.117725377812,0.0505776173462,0.109819738743,0.00222129608252,0.00157128690575,0.0418416658759,0.00956239988827
{'max_leaf_nodes': 7},0.051205009222,0.00671198964119,0.0273230718228,0.142006389428,7,6,0.0393516325408,0.156425412064,-0.123961876348,0.159830169689,0.0558648440904,0.135958255969,0.0751738489738,0.135713530243,0.0298834180387,0.140222730159,0.0424066130639,0.147252611955,0.0477168200519,0.130425953645,0.0523765101035,0.130222451697,0.00342988263531,0.000456324291827,0.058569281078,0.0106386519599
{'max_leaf_nodes': 8},0.0535113811493,0.0066584944725,0.0189029261984,0.158528140855,8,7,0.0367722002414,0.171565368487,-0.184628574767,0.178990751617,0.065942161389,0.156601630048,0.0504601034382,0.155480173908,0.0356351377342,0.153184145872,0.0412229350782,0.16369514898,0.0425635675475,0.143601849856,0.0635976557804,0.145106058072,0.00433851802006,0.000429404482498,0.0777304279174,0.0115102780943
{'max_leaf_nodes': 9},0.0516251027584,0.00660645961761,0.00863640433071,0.172483824809,9,8,0.0371218463247,0.179519168178,-0.245621864813,0.191338357826,0.0595205217799,0.170734660217,0.0463138619427,0.170437058864,0.0289398719312,0.164296053746,0.0420444035279,0.180097968251,0.033720587728,0.16316218913,0.0674716031353,0.160285142259,0.00395551783999,0.000623879536201,0.0969278663909,0.00982950801309
{'max_leaf_nodes': 10},0.0529055297375,0.00681275129318,-0.022675250327,0.184853673341,10,9,0.0241317645648,0.191973449331,-0.47895257357,0.209969488398,0.0621659986293,0.180006095134,0.0563539218044,0.182137763275,0.0234243691828,0.181879072409,0.0316875238939,0.187980403654,0.0283455027543,0.175879031247,0.0721708242627,0.169004083277,0.00291662152231,0.000866799794031,0.173474010668,0.0115257806524
{'max_leaf_nodes': 11},0.0530850589275,0.00711420178413,-0.0300880165383,0.19731979022,11,10,0.027781050261,0.207853886259,-0.49933536628,0.220210379605,0.0624097856356,0.189599014538,0.0534619587726,0.190991824849,-0.0080776692305,0.197559860665,0.0251716255116,0.199813809591,0.0277569552087,0.192831511717,0.0709218017643,0.179698034537,0.00199814596961,0.00117261582986,0.179031502521,0.0115733987465
