params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_split': 2},0.102534025908,0.00692701339722,-0.386096022434,0.572783936703,2,21,-0.596364162866,0.582120595754,-0.886657960251,0.590588504082,-0.210044103723,0.55896431132,-0.29607684627,0.568468843963,-0.52788514368,0.589982867094,-0.25744245769,0.554752925888,-0.256691991632,0.577138420597,-0.0553045357715,0.560255024926,0.00319215903376,0.000250225523703,0.249170372633,0.0132789006077
{'min_samples_split': 12},0.101849883795,0.00856870412827,-0.177516070225,0.482822850533,12,20,-0.293479323411,0.487877759467,-0.465335830488,0.488005088157,-0.0855297392119,0.470756687152,-0.101368396966,0.487692774874,-0.281165585126,0.499176645512,-0.111035373331,0.467918895267,-0.101468590611,0.48733369914,0.0206252212023,0.473821254695,0.0108719310248,0.00187872305865,0.146091559789,0.0100788586191
{'min_samples_split': 22},0.0830793678761,0.00673019886017,-0.0930507661459,0.413879632794,22,19,-0.162445426428,0.429128004617,-0.34061352553,0.428081609677,-0.053814431169,0.390835781701,-0.0343109274409,0.418151485304,-0.133601366681,0.413957832021,-0.0376824730381,0.420677553456,-0.0489182544638,0.41805523853,0.068006223088,0.392149557044,0.00373494649145,0.000139760068151,0.113841992267,0.0137809946281
{'min_samples_split': 32},0.0780162215233,0.00728726387024,-0.0474586533201,0.362582908557,32,18,-0.112783425142,0.371977325394,-0.264540972847,0.386079826052,-0.025343387373,0.349877153264,0.0215629893407,0.35357839861,-0.0577750336858,0.350139135243,-0.0103960051446,0.377216233734,-0.000235249362914,0.360381547941,0.0706686109948,0.351413648216,0.00340307420916,0.00075298773037,0.0963854764449,0.0131408603294
{'min_samples_split': 42},0.0775644779205,0.00807666778564,-0.0266995641807,0.327297130074,42,17,-0.0676035763923,0.341233328604,-0.235075278234,0.355814769095,-0.0159724331374,0.31913436365,0.0301238260699,0.315668376787,-0.023025214474,0.312081463942,-0.0184079660971,0.33475303992,0.0254449189799,0.326641344554,0.0917722915342,0.313050354042,0.00405419306079,0.00114598355306,0.0903273503508,0.0145766928387
{'min_samples_split': 52},0.0760268568993,0.00755894184113,-0.00621836522197,0.298264836759,52,16,-0.0323639498343,0.31257741385,-0.178757268064,0.323423965414,0.0101912382669,0.285726571291,0.0448666126733,0.281438554494,-0.0180847302158,0.292294001979,0.00442432203646,0.298416853927,0.024451721218,0.305261992938,0.0961905270367,0.28697934018,0.0062268621509,0.00129206264734,0.075011376935,0.0136480772376
{'min_samples_split': 62},0.075255304575,0.00710511207581,-0.00121825317484,0.274318643467,62,15,-0.0217435008145,0.287061804659,-0.176421178815,0.302141484474,0.00575031138222,0.259441202321,0.0413519637039,0.255744385633,-0.00435502509944,0.277006062958,0.0058470362357,0.276798979584,0.0391003044714,0.274944459076,0.101438942303,0.261410769034,0.00412157903346,0.000661149991616,0.0751645323333,0.0145052538168
{'min_samples_split': 72},0.0714121162891,0.0069645345211,-0.00023235019927,0.259822157911,72,14,-0.00878036910982,0.273311822085,-0.176102189986,0.28423954849,0.0069075870602,0.243345196798,0.0451935867972,0.241363704187,0.000353971444873,0.260063640753,-0.00314045272806,0.26442692867,0.0411272398762,0.2648473228,0.0932560650777,0.246979099508,0.00345691093015,0.000655759444143,0.0738067449526,0.0141502801325
{'min_samples_split': 82},0.0681709945202,0.00690078735352,0.00776036719566,0.241972593661,82,13,-0.00100457115548,0.246645016508,-0.14860970346,0.256245051559,0.00830128841431,0.232109776744,0.0446786373119,0.222423750741,0.0085500033668,0.244666656724,0.0116859978902,0.250162761853,0.0469674752648,0.248472676996,0.0921317021476,0.235055058166,0.00269615190416,0.00101939308949,0.0657298957725,0.0104247734883
{'min_samples_split': 92},0.0786958634853,0.00833562016487,0.0146084590617,0.229956617449,92,12,0.00577704410546,0.237025077452,-0.120335132919,0.242287796613,0.0224991166074,0.218029532529,0.059199907581,0.213819264895,0.0110887701492,0.234798967203,0.0043954766541,0.235515834567,0.0453897950028,0.233747691436,0.0893804620065,0.2244287749,0.0138766657349,0.00355082380361,0.0580888483041,0.0093806525616
