	mean_fit_time	mean_score_time	mean_test_score	mean_train_score	param_random_state	params	rank_test_score	split0_test_score	split0_train_score	split1_test_score	split1_train_score	split2_test_score	split2_train_score	std_fit_time	std_score_time	std_test_score	std_train_score
0	0.28958829244	0.0499163468679	0.38438	0.391325003337	0	{'random_state': 0}	16	0.383200839958	0.391719792995	0.385503855039	0.39080804596	0.384435377415	0.391447171057	0.0178592747097	0.000768093845641	0.000941026386129	0.000382112006051
4	0.288421630859	0.0522866249084	0.38427	0.391284996787	4	{'random_state': 4}	17	0.382840857957	0.391179779494	0.384513845138	0.39095804521	0.385455418217	0.391717165657	0.0161739790566	0.00219272275773	0.00108122909968	0.000318715099747
8	0.278040329615	0.0500672658285	0.3846	0.391569998887	8	{'random_state': 8}	11	0.382720863957	0.391599789995	0.385113851139	0.39125804371	0.385965438618	0.391852162957	0.00263677784358	0.000743949646332	0.00137352553913	0.000243461225487
12	0.274134635925	0.0524600346883	0.38471	0.391124997512	12	{'random_state': 12}	9	0.383710814459	0.391074776869	0.383853838538	0.39077804611	0.386565462619	0.391522169557	0.00419474866768	0.00255623623906	0.00131326953322	0.000305855642131
16	0.277580897013	0.050857702891	0.38514	0.391380001712	16	{'random_state': 16}	3	0.383590820459	0.39164479112	0.385563855639	0.39092804536	0.386265450618	0.391567168657	0.0104141344269	0.0021734912459	0.00113230112044	0.000321148688279
20	0.29683526357	0.0525680383046	0.38454	0.391580000937	20	{'random_state': 20}	12	0.382180890955	0.391779794495	0.385473854739	0.39116804416	0.385965438618	0.391792164157	0.0141216321604	0.00337483910032	0.00168023249215	0.000291341199662
24	0.273996750514	0.0498796304067	0.38409	0.391489999737	24	{'random_state': 24}	21	0.380890955452	0.391629790745	0.385953859539	0.39101804491	0.385425417017	0.391822163557	0.00119721395642	0.00051506305804	0.0022724144742	0.000342838974802
28	0.285259008408	0.0504589875539	0.38479	0.391530000662	28	{'random_state': 28}	8	0.383080845958	0.39167479187	0.386373863739	0.39122804386	0.384915396616	0.391687166257	0.0102539639918	9.43792994177e-05	0.00134730305169	0.000213575457712
32	0.284993648529	0.0497846603394	0.38376	0.391495000387	32	{'random_state': 32}	24	0.381790910454	0.391599789995	0.384573845738	0.39125804371	0.384915396616	0.391627167457	0.00844942431676	0.000317917206832	0.00139937292014	0.000167926038353
36	0.276440620422	0.050438006719	0.38501	0.391545001037	36	{'random_state': 36}	4	0.384520773961	0.391719792995	0.385773857739	0.39122804386	0.384735389416	0.391687166257	0.00637727702472	0.000711627721725	0.000547185176055	0.000224518024812
40	0.277863343557	0.0504826704661	0.3842	0.391360000162	40	{'random_state': 40}	19	0.383710814459	0.391449786245	0.385263852639	0.391123044385	0.383625345014	0.391507169857	0.00342914500456	0.00107023113172	0.000753060582132	0.000169182839956
44	0.306312322617	0.0505143801371	0.38425	0.391455002087	44	{'random_state': 44}	18	0.382600869957	0.39170479262	0.385383853839	0.391123044385	0.384765390616	0.391537169257	0.0150307633659	0.000829513855171	0.00119317425583	0.000244501308866
