params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_estimators': 10},0.0809411406517,0.00169461965561,-0.391041878316,0.561519635981,10,13,-0.451835677574,0.575964062123,-0.451036132998,0.561249701878,-0.491818273412,0.554630621531,-0.39080681467,0.550658690063,-0.482963302002,0.56443142596,-0.315673901549,0.568068742725,-0.322451727358,0.563748334663,-0.221749196966,0.553405508906,0.00173979250048,4.73620697735e-05,0.0901010783151,0.00787645584444
{'n_estimators': 50},0.391774743795,0.0044814646244,-0.341616190983,0.595057994593,50,12,-0.431874206608,0.612337130682,-0.422715546177,0.599335745922,-0.360349593056,0.591605474072,-0.328823638323,0.584079536456,-0.426445224574,0.594220643628,-0.292948946496,0.596767364147,-0.276970089401,0.59819356523,-0.192802283226,0.583924496606,0.00710239825407,5.92536051323e-05,0.0799432359333,0.00856390552685
{'n_estimators': 90},0.708853602409,0.00745213031769,-0.329110537915,0.599621822327,90,11,-0.407762027455,0.617454648187,-0.415259451277,0.604965368732,-0.334675263038,0.595890203077,-0.298369941009,0.587607589563,-0.415956520829,0.596874468355,-0.292908173374,0.602120931577,-0.27825157327,0.604183344362,-0.189701353067,0.587878024765,0.0129936457189,0.000197621606486,0.0753807283027,0.00920154676408
{'n_estimators': 130},1.02189537883,0.0102622509003,-0.326545633077,0.600100883093,130,10,-0.40591737918,0.617744920197,-0.415019502983,0.60506405188,-0.332369302472,0.596631353426,-0.292350694422,0.587882894867,-0.409874809848,0.596708751717,-0.288164570531,0.602467299961,-0.277527705449,0.605454525684,-0.191141099731,0.588853267015,0.014562679556,0.000608702348587,0.0745693563349,0.00914835232841
{'n_estimators': 170},1.33243018389,0.0130871534348,-0.321827584292,0.600879751207,170,7,-0.395639808791,0.617331757978,-0.403029341476,0.604793477121,-0.327140198045,0.596886733877,-0.300494825512,0.588967008419,-0.407364181548,0.598267690663,-0.275528753069,0.603397205512,-0.279963095279,0.606886007688,-0.185460470619,0.590508128397,0.0204419911477,0.000212831719885,0.0727444127509,0.0086649402664
{'n_estimators': 210},1.64935722947,0.0157698094845,-0.322421070632,0.601512272836,210,9,-0.394757337205,0.618202466335,-0.404701384867,0.605880403411,-0.327129976338,0.597574981812,-0.301856782573,0.589568610439,-0.402437949628,0.598674465501,-0.273019283868,0.603869069274,-0.287116411251,0.607457380289,-0.188349439323,0.590870805625,0.0186178417773,0.000145718616075,0.0711622337201,0.00878912127827
{'n_estimators': 250},1.9682777226,0.0188797414303,-0.321981787218,0.602071359783,250,8,-0.384736459097,0.618627482876,-0.403702221338,0.606467231616,-0.33134850008,0.598259539174,-0.298681743162,0.590652793759,-0.399112627578,0.598917526281,-0.276437063385,0.6042626936,-0.29198845405,0.607848924652,-0.189847229056,0.591534686308,0.028202650362,0.000448123749082,0.0685835580304,0.00864214152289
{'n_estimators': 290},2.37613466382,0.0225292742252,-0.32089741121,0.601883288718,290,6,-0.385871226065,0.618756343653,-0.400955791341,0.606104550423,-0.33117375654,0.59785300172,-0.301726689319,0.590652188241,-0.39437648865,0.598626412532,-0.273424751157,0.604134146734,-0.291259953263,0.607472757232,-0.188390633342,0.591466909208,0.156494746847,0.00241253877016,0.0681847802533,0.00866253852165
{'n_estimators': 330},2.56675037742,0.0244429707527,-0.320485607997,0.601912374707,330,5,-0.382280010555,0.618695699694,-0.395342155305,0.606396745048,-0.329809892252,0.597568798846,-0.300973627195,0.59021233724,-0.393564506674,0.598523014426,-0.276570699093,0.604416332589,-0.294872037646,0.607743019957,-0.190471935259,0.591743049858,0.0380966833268,0.000558150633674,0.0658771254637,0.00875154459991
{'n_estimators': 370},2.86720260978,0.026721060276,-0.31866811098,0.602044923461,370,4,-0.381733948297,0.618860327673,-0.39012818776,0.606096395611,-0.328269724734,0.597825466557,-0.29762709316,0.590127477539,-0.394586253402,0.59906379701,-0.27674032717,0.604462605359,-0.292007043213,0.607829803296,-0.188252310101,0.592093514644,0.0382007476818,0.000441253579792,0.0660107518562,0.00870509371074
{'n_estimators': 410},3.17991507053,0.0297121107578,-0.316203582902,0.60189281857,410,3,-0.3807107452,0.618461119307,-0.385498143521,0.605681711476,-0.325656932786,0.59757047942,-0.293277897355,0.589724917015,-0.392478724528,0.599012640376,-0.27689165971,0.604611897033,-0.287862948717,0.607652736173,-0.187251611399,0.592427047757,0.0413591864582,0.00062214584653,0.0655486365578,0.00861735911338
{'n_estimators': 450},3.47581827641,0.0326331853867,-0.315905700476,0.602218363655,450,2,-0.378817631341,0.618671950065,-0.388025975214,0.606238508269,-0.319946550968,0.597650632712,-0.294333392328,0.590377973564,-0.392060052775,0.599388884048,-0.278150496743,0.604777503293,-0.28774416365,0.608084033013,-0.188167340786,0.592557424272,0.042484600878,0.000575840766232,0.0651690489233,0.00858949976169
{'n_estimators': 490},3.79636484385,0.0349280536175,-0.315009534065,0.602144957279,490,1,-0.375554364046,0.618372216229,-0.386130982002,0.606106005302,-0.316382471346,0.597376196503,-0.291875023427,0.590507959664,-0.39299962168,0.599051466522,-0.279627292045,0.604748436835,-0.286656949542,0.608099045164,-0.19084956843,0.592898332013,0.0549459382499,0.000191983680957,0.0640458334567,0.00847403135707
