params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_bootstrap_features,param_max_features,param_max_samples,param_n_estimators,param_warm_start,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 10, 'max_features': 10, 'bootstrap_features': True}",0.0175114870071,0.00154286623001,-0.0926836974363,0.0204326844968,True,True,10,100,10,True,26,-0.136267028916,0.0377998063701,-0.257755112771,0.0127422676512,-0.0554237699055,-0.0131190384235,-0.070228652493,0.044528984765,-0.0708096118021,0.0316367253422,-0.0907814940756,0.0321891945172,-0.0531387797813,0.0076077331609,-0.00706512974595,0.0100758025911,0.000756036601724,0.000148049814947,0.0710783404353,0.0180367668585
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 50, 'max_features': 10, 'bootstrap_features': True}",0.0767746269703,0.00342172384262,0.00523727082498,0.100587853203,True,True,10,100,50,True,23,0.0249558580379,0.101943334208,-0.0102503707743,0.10095200116,0.00150222303221,0.0980439233048,0.0284829464634,0.106278575698,-0.0554389153453,0.0973014444354,0.010179469524,0.0965947509498,0.00538571854954,0.099619108917,0.0370812371124,0.103969686953,0.00753966205486,0.000120645204784,0.0271640545199,0.00316121905926
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 90, 'max_features': 10, 'bootstrap_features': True}",0.13295724988,0.0053476691246,0.0183109054718,0.10844274691,True,True,10,100,90,True,13,0.051111471239,0.109245132082,0.00814816752628,0.109179487155,-0.00515446654882,0.108086648468,0.0183681008241,0.111861242034,-0.0283829778011,0.105140061781,0.0317011301882,0.104424418565,0.0319757605062,0.106749414558,0.0387200578402,0.112855570632,0.00149788323036,0.000139603787023,0.0242194754514,0.00279272721924
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 130, 'max_features': 10, 'bootstrap_features': True}",0.190760910511,0.00720700621605,0.0205939285827,0.109695055354,True,True,10,100,130,True,10,0.0518457740775,0.108317534342,0.00623533879345,0.106036159659,-0.00831139519943,0.105029990121,0.0119778240712,0.113142238639,-0.0195805040275,0.11242375106,0.043503974044,0.10645195774,0.040440101625,0.11094306117,0.0386403152772,0.1152157501,0.00208114326655,6.06570248423e-05,0.0248771979512,0.00351656863025
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 170, 'max_features': 10, 'bootstrap_features': True}",0.251873522997,0.0091817677021,0.0246410796683,0.112533770117,True,True,10,100,170,True,1,0.0478205123803,0.109599685802,0.0131561390304,0.109200806369,0.00437346619004,0.105694571663,0.014175780414,0.116657756542,-0.0110271569455,0.11604119447,0.0498618310364,0.110277372184,0.036144761088,0.115252690495,0.0426233041528,0.117546083414,0.00681269387819,0.000211901090801,0.0210757357322,0.00408363452502
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 210, 'max_features': 10, 'bootstrap_features': True}",0.306924134493,0.0111201405525,0.022887264337,0.112522699619,True,True,10,100,210,True,7,0.0453876687652,0.109319478225,0.0140235661749,0.108434740543,0.00330879295283,0.105001855944,0.0112554328184,0.117081958291,-0.0133184990226,0.116593945322,0.0449883632316,0.111028377749,0.0349075922798,0.114727706993,0.0425451974959,0.117993533887,0.00259722040086,0.000471368902873,0.0207174077876,0.00444300138523
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 250, 'max_features': 10, 'bootstrap_features': True}",0.367983132601,0.0127837061882,0.0228008829668,0.11257669386,True,True,10,100,250,True,8,0.0430069014821,0.109210280915,0.0135364712826,0.110916376231,-0.00124119838425,0.107787948956,0.0122479689524,0.116209327715,-0.0110023010872,0.115540016368,0.0465821615999,0.111446085391,0.0300309306631,0.114181922251,0.0492461292255,0.115321593051,0.00699096669419,7.11800005542e-05,0.0213404758703,0.00296623251739
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 290, 'max_features': 10, 'bootstrap_features': True}",0.426467955112,0.0149256289005,0.0219273204235,0.113851919612,True,True,10,100,290,True,9,0.0469174380503,0.111222614724,0.0163741814541,0.113207211932,-0.00175392360597,0.107620355321,0.0100692364913,0.116489512169,-0.0112922296704,0.116426376647,0.0404334742999,0.114587975725,0.0274865249749,0.114314796908,0.0471838613938,0.116946513467,0.00627783755519,0.000381988510465,0.0208313845601,0.00295969918958
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 330, 'max_features': 10, 'bootstrap_features': True}",0.482059538364,0.0166257619858,0.0230992567286,0.115860105572,True,True,10,100,330,True,6,0.0440271623412,0.11248773715,0.0180284742355,0.11577283072,-0.0011075350874,0.111672506391,0.00677615942975,0.119809123125,-0.0104764228026,0.11752988159,0.0435831006313,0.116973866691,0.0319528661479,0.11581199031,0.0520102489331,0.116822908599,0.00646762590868,0.000284667739887,0.0217291518785,0.00248669290264
"{'warm_start': True, 'max_samples': 100, 'bootstrap': True, 'n_estimators': 370, 'max_features': 10, 'bootstrap_features': True}",0.545409291983,0.0187697410583,0.0233329415405,0.115634509824,True,True,10,100,370,True,4,0.0454785895422,0.11312635154,0.0179165705384,0.11645049146,0.00181326069653,0.110367436521,0.0056548962958,0.120193097631,-0.00895691096997,0.117223663474,0.0425669316364,0.11591273658,0.0274633796835,0.116325926047,0.0547268149012,0.115476375336,0.00886287989536,0.000470264510687,0.0215365779012,0.002706135398
