params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'leaf_size': 1},0.00351500511169,0.00441506505013,-0.109856455696,0.235978884616,1,14,-0.0159465130094,0.225955843565,-0.109915558047,0.238765622968,-0.0898313599874,0.237971784777,-0.191852839489,0.234785168315,-0.0206261960396,0.227375735144,-0.0634296758919,0.243929395367,-0.154114890459,0.232673787063,-0.23397650507,0.246373739727,0.0014004760051,0.000939477281337,0.0736486518274,0.0067991300625
{'leaf_size': 6},0.00255620479584,0.00226151943207,-0.103391827988,0.239450671208,6,4,-0.00488108223708,0.232480154372,-0.119414976766,0.242526626569,-0.0821314462892,0.247235573121,-0.182753594459,0.231153724142,0.0077317107387,0.22869009745,-0.0550168735347,0.252173208578,-0.165406142551,0.237039326835,-0.226186262552,0.244306658596,0.000325949938721,0.000401884006888,0.0792878237253,0.00786242436126
{'leaf_size': 11},0.00221571326256,0.00173154473305,-0.102214020517,0.237784330563,11,1,-0.0153443456844,0.235072982099,-0.114505725666,0.246494720594,-0.0820009649532,0.247400082697,-0.189752140442,0.232759747202,0.06892668247,0.225328272172,-0.0565734966351,0.242365561216,-0.193105967029,0.232675336941,-0.236482005859,0.240177941579,0.000120176204919,7.27380795731e-05,0.0957801154076,0.00714933289284
{'leaf_size': 16},0.00257846713066,0.00219810009003,-0.102214020517,0.237784330563,16,1,-0.0153443456844,0.235072982099,-0.114505725666,0.246494720594,-0.0820009649532,0.247400082697,-0.189752140442,0.232759747202,0.06892668247,0.225328272172,-0.0565734966351,0.242365561216,-0.193105967029,0.232675336941,-0.236482005859,0.240177941579,0.000567674754967,0.000722273738923,0.0957801154076,0.00714933289284
{'leaf_size': 21},0.00233399868011,0.00195559859276,-0.102214020517,0.237784330563,21,1,-0.0153443456844,0.235072982099,-0.114505725666,0.246494720594,-0.0820009649532,0.247400082697,-0.189752140442,0.232759747202,0.06892668247,0.225328272172,-0.0565734966351,0.242365561216,-0.193105967029,0.232675336941,-0.236482005859,0.240177941579,0.000196197812566,0.000221407049157,0.0957801154076,0.00714933289284
{'leaf_size': 26},0.00243332982063,0.00167542695999,-0.114850822425,0.240281368023,26,17,-0.0190346957371,0.236257959758,-0.124402799697,0.242938048349,-0.0930749564086,0.251467768592,-0.176318308658,0.233631625598,-0.022383566318,0.230265294162,-0.0710831878677,0.249985396797,-0.184252753415,0.232731394487,-0.229174941548,0.244973456444,0.000631014569752,8.47161929612e-05,0.0723184870965,0.00763305394839
{'leaf_size': 31},0.00213351845741,0.00212621688843,-0.114850822425,0.240281368023,31,17,-0.0190346957371,0.236257959758,-0.124402799697,0.242938048349,-0.0930749564086,0.251467768592,-0.176318308658,0.233631625598,-0.022383566318,0.230265294162,-0.0710831878677,0.249985396797,-0.184252753415,0.232731394487,-0.229174941548,0.244973456444,0.000266757015119,0.00076875960748,0.0723184870965,0.00763305394839
{'leaf_size': 36},0.00228375196457,0.00195118784904,-0.114850822425,0.240281368023,36,17,-0.0190346957371,0.236257959758,-0.124402799697,0.242938048349,-0.0930749564086,0.251467768592,-0.176318308658,0.233631625598,-0.022383566318,0.230265294162,-0.0710831878677,0.249985396797,-0.184252753415,0.232731394487,-0.229174941548,0.244973456444,0.000381387402734,0.000452197847992,0.0723184870965,0.00763305394839
{'leaf_size': 41},0.00214686989784,0.00176566839218,-0.114850822425,0.240281368023,41,17,-0.0190346957371,0.236257959758,-0.124402799697,0.242938048349,-0.0930749564086,0.251467768592,-0.176318308658,0.233631625598,-0.022383566318,0.230265294162,-0.0710831878677,0.249985396797,-0.184252753415,0.232731394487,-0.229174941548,0.244973456444,0.000127412700974,0.000189174541457,0.0723184870965,0.00763305394839
{'leaf_size': 46},0.00235050916672,0.00207087397575,-0.108871731832,0.239237480648,46,5,-0.0198718702209,0.238077217081,-0.124345710767,0.24572933704,-0.0930020096313,0.241420582864,-0.176422146299,0.239401312385,0.0235321366162,0.224071814166,-0.0667572018119,0.24277987636,-0.177040736464,0.233111781574,-0.238053067778,0.249307923718,0.000663456596799,0.000481607867307,0.0818343365962,0.00732945433746
