params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_epsilon,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'epsilon': 1.0000000000000001e-05},0.00620874762535,0.000996887683868,-1.91191659369e+31,-1.9389920618e+31,1.0000000000000001e-05,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000831786864262,0.000219326327846,1.22818799457e+31,1.3315837408e+31
{'epsilon': 10.00001},0.00676286220551,0.00198239088058,-1.91191659369e+31,-1.9389920618e+31,10.00001,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00417222640227,0.0021757115512,1.22818799457e+31,1.3315837408e+31
{'epsilon': 20.00001},0.00715628266335,0.00125747919083,-1.91191659369e+31,-1.9389920618e+31,20.00001,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00284157309599,0.000512967736654,1.22818799457e+31,1.3315837408e+31
{'epsilon': 30.00001},0.0056899189949,0.00110319256783,-1.91191659369e+31,-1.9389920618e+31,30.00001,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00101520849508,0.000165167361075,1.22818799457e+31,1.3315837408e+31
{'epsilon': 40.000010000000003},0.00484243035316,0.000979214906693,-1.91191659369e+31,-1.9389920618e+31,40.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000916733449734,0.000205177626783,1.22818799457e+31,1.3315837408e+31
{'epsilon': 50.000010000000003},0.00491532683372,0.000987857580185,-1.91191659369e+31,-1.9389920618e+31,50.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000919398173224,0.000198440931587,1.22818799457e+31,1.3315837408e+31
{'epsilon': 60.000010000000003},0.00576338171959,0.00138181447983,-1.91191659369e+31,-1.9389920618e+31,60.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00105636134625,0.000802761558358,1.22818799457e+31,1.3315837408e+31
{'epsilon': 70.000010000000003},0.00933462381363,0.00206393003464,-1.91191659369e+31,-1.9389920618e+31,70.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00654724475661,0.00189741255548,1.22818799457e+31,1.3315837408e+31
{'epsilon': 80.000010000000003},0.00506681203842,0.0010421872139,-1.91191659369e+31,-1.9389920618e+31,80.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000752035322617,0.000253803513503,1.22818799457e+31,1.3315837408e+31
{'epsilon': 90.000010000000003},0.0049777328968,0.000979512929916,-1.91191659369e+31,-1.9389920618e+31,90.000010000000003,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000935154338869,0.000208320337549,1.22818799457e+31,1.3315837408e+31
