params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_l1_ratio,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'l1_ratio': 0.0},0.00487244129181,0.000999540090561,-1.91191659369e+31,-1.9389920618e+31,0.0,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000658606026021,0.00042230088839,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.10000000000000001},0.00598102807999,0.00143054127693,-1.91191659369e+31,-1.9389920618e+31,0.10000000000000001,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000990154897549,0.000691803721961,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.20000000000000001},0.00916463136673,0.00165459513664,-1.91191659369e+31,-1.9389920618e+31,0.20000000000000001,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00299437956018,0.000942382115509,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.30000000000000004},0.0082326233387,0.00131505727768,-1.91191659369e+31,-1.9389920618e+31,0.30000000000000004,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00437850191751,0.000415730271111,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.40000000000000002},0.00534492731094,0.00104960799217,-1.91191659369e+31,-1.9389920618e+31,0.40000000000000002,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000859381982149,0.000107167224415,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.5},0.00539299845695,0.00104776024818,-1.91191659369e+31,-1.9389920618e+31,0.5,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000851913734443,0.000199487403124,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.60000000000000009},0.00527590513229,0.00107973814011,-1.91191659369e+31,-1.9389920618e+31,0.60000000000000009,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000843996851359,0.000153258911573,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.70000000000000007},0.0091278553009,0.00228622555733,-1.91191659369e+31,-1.9389920618e+31,0.70000000000000007,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00440612044995,0.00107038343332,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.80000000000000004},0.00596752762794,0.000854402780533,-1.91191659369e+31,-1.9389920618e+31,0.80000000000000004,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00162406285335,0.000131072006391,1.22818799457e+31,1.3315837408e+31
{'l1_ratio': 0.90000000000000002},0.00548011064529,0.00102722644806,-1.91191659369e+31,-1.9389920618e+31,0.90000000000000002,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.00106092388472,0.00027894415911,1.22818799457e+31,1.3315837408e+31
