params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_epsilon,param_fit_intercept,param_l1_ratio,param_learning_rate,param_loss,param_penalty,param_shuffle,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00934001803398,0.00343787670135,-0.0278792898827,-0.0183951508769,10.00001,1.0000000000000001e-05,True,0.0,invscaling,huber,l2,True,14,-0.0268657930945,-0.0132353122851,0.0030682141001,-0.0126535977303,-0.0359988487722,-0.0221712554827,-0.0236475308542,-0.0101468447147,-0.0224848174386,-0.0491470252186,-0.032454470103,-0.013312414838,-0.0803159030292,-0.0165718614137,-0.00433516986977,-0.00992289533234,0.00536006675708,0.00466607839734,0.0234429274836,0.0121886133697
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00617381930351,0.00178393721581,-0.0419040608335,-0.0438761680943,10.00001,1.0000000000000001e-05,True,0.0,invscaling,huber,l2,False,20,-0.0507980827441,-0.0348647504687,-0.0869111838289,-0.0312510658153,-0.0160482819319,-0.0402482129155,-0.0531107372805,-0.0337451745253,-0.0403517496874,-0.0377626565694,-0.0364141321585,-0.0775963236724,-0.0428131573782,-0.0964493496334,-0.00878516165856,0.000908188845859,0.00105922479916,0.00120655389659,0.0224418486636,0.028063321043
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00639429688454,0.00127664208412,-0.0278792898827,-0.0183951508769,10.00001,1.0000000000000001e-05,True,0.0,invscaling,huber,elasticnet,True,14,-0.0268657930945,-0.0132353122851,0.0030682141001,-0.0126535977303,-0.0359988487722,-0.0221712554827,-0.0236475308542,-0.0101468447147,-0.0224848174386,-0.0491470252186,-0.032454470103,-0.013312414838,-0.0803159030292,-0.0165718614137,-0.00433516986977,-0.00992289533234,0.00265215968187,0.000725137869219,0.0234429274836,0.0121886133697
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00601625442505,0.000993490219116,-0.0419040608335,-0.0438761680943,10.00001,1.0000000000000001e-05,True,0.0,invscaling,huber,elasticnet,False,20,-0.0507980827441,-0.0348647504687,-0.0869111838289,-0.0312510658153,-0.0160482819319,-0.0402482129155,-0.0531107372805,-0.0337451745253,-0.0403517496874,-0.0377626565694,-0.0364141321585,-0.0775963236724,-0.0428131573782,-0.0964493496334,-0.00878516165856,0.000908188845859,0.00124456203064,0.000224715645097,0.0224418486636,0.028063321043
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00575664639473,0.00111973285675,-41173852.311,-38598546.6055,10.00001,1.0000000000000001e-05,True,0.0,invscaling,epsilon_insensitive,l2,True,177,-57165954.4659,-32315683.8637,-42290227.9394,-35036409.033,-31802286.9177,-41168119.6187,-30592999.8318,-36781965.0112,-27892030.7962,-39022158.0231,-35370021.5929,-39844929.5937,-52349731.3262,-43775163.7615,-51927565.6183,-40843943.9392,0.000533912343537,0.000176634420101,10650165.2476,3457563.3405
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.0057218670845,0.00109401345253,-30634858.0896,-28463789.9012,10.00001,1.0000000000000001e-05,True,0.0,invscaling,epsilon_insensitive,l2,False,159,-46240251.3468,-26099430.0406,-32645239.2307,-27039703.5787,-22101612.7177,-28634976.9397,-23556282.6939,-28316997.9306,-20721329.829,-28983729.8223,-24859607.2161,-28001043.2743,-33107639.9028,-27718957.4371,-41846901.7795,-32915480.1862,0.000494646830559,0.000227762347321,8901885.86816,1888314.9249
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.0110295116901,0.00174543261528,-41173852.311,-38598546.6055,10.00001,1.0000000000000001e-05,True,0.0,invscaling,epsilon_insensitive,elasticnet,True,177,-57165954.4659,-32315683.8637,-42290227.9394,-35036409.033,-31802286.9177,-41168119.6187,-30592999.8318,-36781965.0112,-27892030.7962,-39022158.0231,-35370021.5929,-39844929.5937,-52349731.3262,-43775163.7615,-51927565.6183,-40843943.9392,0.00238043380627,0.00113399663306,10650165.2476,3457563.3405
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00634011626244,0.00119227170944,-30634858.0896,-28463789.9012,10.00001,1.0000000000000001e-05,True,0.0,invscaling,epsilon_insensitive,elasticnet,False,159,-46240251.3468,-26099430.0406,-32645239.2307,-27039703.5787,-22101612.7177,-28634976.9397,-23556282.6939,-28316997.9306,-20721329.829,-28983729.8223,-24859607.2161,-28001043.2743,-33107639.9028,-27718957.4371,-41846901.7795,-32915480.1862,0.00164064630882,0.000153817994111,8901885.86816,1888314.9249
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.00541621446609,0.00112318992615,-0.793007163554,-0.666727062435,10.00001,1.0000000000000001e-05,True,0.0,constant,huber,l2,True,39,-2.21048641184,-1.22162317542,-1.87773289558,-1.32777353786,-1.09271477937,-1.56420858692,-0.123189161157,-0.0991315631308,-0.14912138365,-0.170948571715,-0.354533507013,-0.309921285542,-0.365323725464,-0.457697509403,-0.17095544435,-0.182512269482,0.000492912923388,0.000242612050515,0.78270904987,0.561670930188
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 1.0000000000000001e-05, 'alpha': 10.00001}",0.0050445497036,0.00107461214066,-3.37927548968,-3.26133986234,10.00001,1.0000000000000001e-05,True,0.0,constant,huber,l2,False,48,-5.84480894216,-3.35443174111,-4.56960076248,-3.42398954611,-2.67929439812,-3.70195334204,-3.22323885174,-3.59773401725,-2.7645073472,-3.69643174645,-2.97642302656,-3.63438860015,-3.68146452752,-3.53241788016,-1.29486606168,-1.1493720255,0.000926471037977,0.000267171256301,1.27408600943,0.806596555556
