params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_depth': 1},0.0389246344566,0.00744727253914,0.00267611923228,0.0175033915197,1,1,-0.00233375849077,0.0209227358055,0.0101092933671,0.01791466404,0.0111986192444,0.0173019159401,0.00882909369631,0.0175716593124,0.00926019261277,0.014913797915,0.00589038265034,0.0180361434074,-0.00386094038039,0.014777535334,-0.0176839288415,0.0185886804033,0.00459265722809,0.00178470268782,0.00936609090869,0.0018541937887
{'max_depth': 2},0.0523710548878,0.00990661978722,-0.00244629499963,0.0561363816298,2,3,0.00258641444132,0.0607223961416,0.00744506548584,0.0570836592927,-0.013301343405,0.0591935810247,-0.0460366253322,0.0678503787175,0.0458716648927,0.0518648952719,-0.0135565450228,0.0535453625621,-0.00112298465157,0.047399434534,-0.00145600640533,0.0514313454941,0.0133037264594,0.00366309042673,0.0239841376655,0.00604073303802
{'max_depth': 3},0.0603370368481,0.00730037689209,-0.000491655474281,0.110545181071,3,2,0.022529268962,0.13028574005,0.0143393056406,0.123284352999,-0.126155287386,0.121068024991,0.00305776969107,0.116760096519,0.0672663727207,0.10881262717,-0.0166026770005,0.110418898591,0.0139649609242,0.0847987938277,0.0176670426538,0.088932914418,0.0260456510621,0.00117535788107,0.0523728396316,0.0151423074721
{'max_depth': 4},0.0594312846661,0.00690200924873,-0.00703599767485,0.155953785757,4,4,0.0179149143313,0.168413080961,-0.00914477988149,0.172088085585,-0.099653268538,0.167837563737,-0.00332500139189,0.166035919858,0.0588693166996,0.149438915517,-0.0250064650013,0.149393397167,-0.00915971548852,0.131835098341,0.0132170178716,0.142588224889,0.0105748782708,0.000305841008606,0.0422786416271,0.0137124706366
{'max_depth': 5},0.0661596357822,0.00787287950516,-0.0223997237615,0.202282575375,5,5,0.0288179056191,0.212245828471,-0.0116667981111,0.20800692637,-0.185643617997,0.20770743101,-0.0102673105514,0.216223718668,0.0514869968475,0.185618174427,-0.0442756508449,0.210892831044,-0.0279480267597,0.177633140141,0.0202987117055,0.199932552873,0.0105010041041,0.00258852832752,0.0683062491957,0.0128490036884
{'max_depth': 6},0.0705363452435,0.00748774409294,-0.0463824297872,0.252796887514,6,6,0.0119095388998,0.259708746767,-0.0327289441543,0.247307889038,-0.263110528855,0.257879980783,-0.0289447148517,0.260113046857,0.0240600506275,0.239061495208,-0.0443356458483,0.270966522238,-0.0420522776116,0.231214381939,0.00414308349635,0.256123037285,0.00771635004687,0.00115702032376,0.0854381532112,0.0120048499277
{'max_depth': 7},0.0737487375736,0.00714486837387,-0.0543662222966,0.304631963662,7,7,0.0262333463065,0.310042708506,-0.0328019316675,0.293682285298,-0.209752133114,0.298652909203,-0.0349486965367,0.312027860701,-0.0523880422725,0.30188624031,-0.0561846850183,0.323517915867,-0.0724062639587,0.289193453315,-0.00268137211158,0.308052336094,0.00395503407409,0.000300001392045,0.0656573658485,0.0103312918965
{'max_depth': 8},0.0801753997803,0.00950121879578,-0.0729422576031,0.351251618727,8,8,-0.000116978044099,0.362200221638,-0.0280865438932,0.336654941529,-0.225969579216,0.344924493833,-0.0573942997728,0.36247394891,-0.099018379483,0.341544257572,-0.066182249474,0.367563293539,-0.0598596959768,0.335306011598,-0.0469103349653,0.359345781198,0.00459076733407,0.00370223026918,0.0637859044039,0.0121397567091
{'max_depth': 9},0.0871502161026,0.00716310739517,-0.102796794369,0.394567943306,9,9,-0.0318907977435,0.403167366954,-0.0664581222592,0.369285843329,-0.258766514836,0.394230531815,-0.0779625240708,0.401709899032,-0.139589667238,0.383725697872,-0.0821047375381,0.41159663194,-0.0748588113824,0.386641751498,-0.0907431798843,0.406185824011,0.0067926349185,0.000199907180973,0.0651912104479,0.0130842760392
{'max_depth': 10},0.0930137336254,0.00727689266205,-0.134677235638,0.431385200882,10,10,-0.0626221139625,0.437286811845,-0.0765827508047,0.408200350041,-0.295950646385,0.434806998731,-0.130638511451,0.432171020371,-0.195743957774,0.420334462989,-0.132568951081,0.446080386963,-0.0820966022306,0.426045771517,-0.101214351412,0.446155804601,0.00855090533991,0.000417739611095,0.0726381537841,0.012090492522
