params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_leaf_nodes,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_leaf_nodes': 2},0.0448037087917,0.00678986310959,0.00267611923228,0.0175033915197,2,1,-0.00233375849077,0.0209227358055,0.0101092933671,0.01791466404,0.0111986192444,0.0173019159401,0.00882909369631,0.0175716593124,0.00926019261277,0.014913797915,0.00589038265034,0.0180361434074,-0.00386094038039,0.014777535334,-0.0176839288415,0.0185886804033,0.00454110527032,0.000244360863486,0.00936609090869,0.0018541937887
{'max_leaf_nodes': 3},0.0511293709278,0.00892001390457,-0.00307541368739,0.0430471897195,3,7,0.00268019227445,0.0461407494351,0.00260964195627,0.0440035991641,-0.0119311733945,0.0456472184385,-0.0413361304358,0.0515660235473,0.0346975249141,0.04116992805,-0.00264567318422,0.0402414149527,-0.00472040436311,0.03556498122,-0.00395728726637,0.0400436029481,0.0104730777191,0.00319133476401,0.0194878713774,0.00455819277244
{'max_leaf_nodes': 4},0.0645510554314,0.0107449889183,0.000318757031194,0.0721901694746,4,3,0.0047758747202,0.086805461652,0.00938764777044,0.0819142107634,-0.0354181360818,0.0762633044299,-0.00532001241167,0.076746387196,0.0424409008508,0.0757756994407,-0.00744297165234,0.0663482649812,-0.00231936620331,0.0501416398947,-0.00355388074276,0.0635263874391,0.0226038302715,0.00843950340988,0.0202098626207,0.0109184244614
{'max_leaf_nodes': 5},0.0517307519913,0.0072720348835,-0.000331553043885,0.0896769628371,5,4,0.00857132340764,0.104752615081,0.0100202269555,0.100448839396,-0.0657357538416,0.096311333163,0.000764684016672,0.0965036851408,0.0553569193436,0.0918176121374,-0.0114776769915,0.0913870929146,-0.000590733122712,0.0620851830106,0.000438585881389,0.074109341853,0.00543311851116,0.00084754195349,0.031006922816,0.0134401064153
{'max_leaf_nodes': 6},0.0530175864697,0.0067326426506,-0.00054645537291,0.104728231345,6,5,0.00858921927486,0.120381929599,0.00405788751002,0.113409710893,-0.0593534210638,0.10966133142,-0.00990902240845,0.117974505773,0.0589348635058,0.102323172071,-0.0162491181741,0.110384846693,0.00686092629246,0.0760948957996,0.00269702207989,0.0875954585095,0.00250894443027,0.000359357322778,0.0306197807055,0.0144541820745
{'max_leaf_nodes': 7},0.0575516819954,0.00748947262764,0.000368686608884,0.11983034505,7,2,0.0175894860691,0.133797188984,0.0117321397031,0.12451832812,-0.0750801497521,0.119098715805,-0.0127583918941,0.129555986624,0.069843945643,0.117840299339,-0.00768552985003,0.131270079256,-0.00457208041172,0.0888746221351,0.00388007336379,0.113687540139,0.00778761862573,0.00134591209629,0.0374482211441,0.0134303384829
{'max_leaf_nodes': 8},0.056419044733,0.00833597779274,-0.00532994361479,0.132832797654,8,11,0.0108082540613,0.145731993489,0.0102658080457,0.136729083699,-0.0964123891122,0.13251573997,-0.0128794000365,0.137606166836,0.069931034184,0.132350618734,-0.0191818043533,0.14979699923,-0.0117875334205,0.0977165765816,0.00661648171315,0.130215202696,0.00262308900034,0.00363511792306,0.0431526091817,0.0147159492322
{'max_leaf_nodes': 9},0.0634089410305,0.00735193490982,-0.00204590740606,0.142799118695,9,6,0.00818166959206,0.153074623848,0.0144378022569,0.144963778428,-0.0656380395692,0.146371375122,-0.0177822041486,0.15071715017,0.0606950167795,0.141090172385,-0.0188910770431,0.158946363398,-0.00522560131597,0.10281171096,0.00785517420005,0.144417775249,0.00886977594081,0.00101381394169,0.0335339967455,0.016011694288
{'max_leaf_nodes': 10},0.0604249238968,0.00728982686996,-0.00455681700249,0.151945514849,10,9,0.00772918216303,0.160624783262,0.0178025668601,0.153322187727,-0.0665773754447,0.156394205855,-0.00766432776897,0.159971892937,0.0400104422396,0.152692299877,-0.0233857246239,0.168741195273,-0.00769131591797,0.111657805035,0.00332201647293,0.152159748826,0.00611083699863,0.00113635917926,0.0294103799147,0.0160749671551
{'max_leaf_nodes': 11},0.0613407790661,0.00678262114525,-0.00498740789422,0.160927164351,11,10,0.00583703504793,0.16922380393,0.0221986012406,0.16233348612,-0.0643668072779,0.163748723636,-0.00565396047829,0.168676860275,0.0275540103096,0.162534006422,-0.0260613861926,0.176590192603,-0.011491648635,0.120795491093,0.012084892832,0.163514750725,0.00391466280611,0.000307468927976,0.0278824095106,0.0158271528952
