params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_split,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_split': 2},0.143127590418,0.0136985778809,-0.352568475194,0.55603824913,2,21,-0.229963343836,0.557981875701,-0.306555024022,0.55699350523,-0.564523313675,0.552429460096,-0.316845369128,0.550517742908,-0.494287021657,0.562784671862,-0.337424822096,0.557113365173,-0.243710168995,0.537429861046,-0.327238738139,0.57305551102,0.00410401727807,0.00589852524462,0.109633168359,0.00955718936984
{'min_samples_split': 12},0.125464767218,0.009347230196,-0.167909126804,0.445081492049,12,20,-0.0874663516984,0.437759363647,-0.115836315113,0.445366293522,-0.332686573563,0.444794570029,-0.194227582165,0.443804663371,-0.104114213631,0.436948419705,-0.232985533629,0.457478842919,-0.127615105154,0.439550046463,-0.148341339479,0.45494973674,0.0206335966715,0.00268501661022,0.0769237625759,0.00709953880404
{'min_samples_split': 22},0.107077628374,0.00821179151535,-0.107735194038,0.375055278798,22,19,-0.0463281562272,0.37089828725,-0.0606990418106,0.368589085421,-0.198459921472,0.370994850682,-0.134909469198,0.377866904806,-0.0453723928988,0.372467459739,-0.179237839848,0.390939389669,-0.0983349607487,0.376255418425,-0.0985397700976,0.372430834393,0.00515507284899,0.00155467471154,0.0549173342836,0.00662206899343
{'min_samples_split': 32},0.100110918283,0.00743958353996,-0.0578208658975,0.32053446644,32,18,-0.0310200740496,0.308992783835,-0.00869660087209,0.312244759043,-0.10143819143,0.313651142011,-0.0894299645257,0.325593749077,0.0072010099838,0.322702339567,-0.105001119803,0.332483275861,-0.0810148339627,0.322886079038,-0.0531671525201,0.325721603091,0.00504467642988,0.000866057223293,0.0403833504758,0.00754002960039
{'min_samples_split': 42},0.0920457541943,0.00741374492645,-0.0316696834881,0.28540062369,42,17,-0.016664424953,0.270779206486,0.0195581418872,0.278549286644,-0.0534881156526,0.284489273685,-0.073915825032,0.28740983763,0.0358370064006,0.286598976695,-0.0858861522119,0.293732744525,-0.0601342826466,0.289610728799,-0.0186638156968,0.292034935053,0.00500841757097,0.00032316462113,0.0412101216279,0.00705508256234
{'min_samples_split': 52},0.0881620049477,0.00705313682556,-0.020328175969,0.26056195816,52,16,-0.00565020056704,0.251566817801,0.030634319441,0.251599216618,-0.0336520966388,0.257899430558,-0.0672856729136,0.26182032848,0.0512731870651,0.255708068378,-0.0765270370798,0.272436935095,-0.0481586223729,0.263950672268,-0.0132592846861,0.269514196079,0.00428411020851,0.000417646339097,0.0422858168171,0.00729826268207
{'min_samples_split': 62},0.0927433371544,0.00861835479736,-0.0111875117135,0.240595586286,62,15,0.00212270691494,0.229126505098,0.0379300474013,0.234357585264,-0.0213821758497,0.238978080485,-0.0685144816555,0.247121967931,0.0734493128496,0.236080493328,-0.0670144764303,0.250121244669,-0.038197244903,0.23386074364,-0.00789378203568,0.255118069875,0.0125022578185,0.00249697352946,0.0460982993134,0.00853703204846
{'min_samples_split': 72},0.189435899258,0.0266605913639,-0.00501041799745,0.224937714367,72,14,-0.000824909709735,0.214818554718,0.051314072811,0.21321660235,-0.0169699555469,0.225419081943,-0.0724108842346,0.232207765681,0.0814329669639,0.222143468259,-0.0629357172483,0.233672017753,-0.0262358495904,0.220992665489,0.00654693257547,0.237031558741,0.106077580426,0.0195932020581,0.0491015663285,0.00820660990531
{'min_samples_split': 82},0.0993838310242,0.0106217861176,0.00152170684991,0.210479683182,82,13,-0.00206875156441,0.203581783418,0.0512104676588,0.199670822341,-0.018418680431,0.215188701175,-0.0500444363968,0.213449875265,0.0937175703063,0.205984519736,-0.0584723921539,0.214041725799,-0.0164390362921,0.209367115727,0.0126889136724,0.222552921999,0.0246052050831,0.0043710794954,0.0475463122555,0.00684931501302
{'min_samples_split': 92},0.0879798233509,0.007837921381,0.00370052316105,0.19863289959,92,12,-0.00197254287504,0.192676583595,0.0492517752132,0.18989872513,-0.0156116973741,0.200920146582,-0.046841771959,0.202894624263,0.0977583232344,0.196638375916,-0.0608776629693,0.201678563424,-0.0104917501175,0.195633402869,0.0183895121358,0.208722774942,0.00633081180404,0.000307222552219,0.0480481328932,0.0056922541427
