params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.545408934355,0.107306867838,0.00382565296683,0.0126233864918,1,sqrt,2,33,182,0.20000000000000001,170,81,0.00648757438273,0.012970972343,0.0131526518319,0.0109838216477,0.00682170882217,0.0126800434783,-0.00140502311452,0.0121911136093,-0.00608762198499,0.0142751974148,-0.00187195138313,0.0138360075047,0.00814865862538,0.0118527381506,0.00535922655509,0.0121971977858,0.0442412643318,0.00838121796176,0.00593918131861,0.000998343840204
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.77377563715,0.15350073576,0.00385730723197,0.0128634695201,1,sqrt,2,33,182,0.20000000000000001,250,65,0.00563593973691,0.013306160374,0.0129150765386,0.0111241653356,0.00730133839133,0.0127465630386,-0.00172575606521,0.0124905434699,-0.00512659164753,0.0143638032709,-0.00263066201028,0.0141573870859,0.00869941197101,0.0123092778364,0.00578970094098,0.0124098557494,0.0158846056491,0.00701684526094,0.00589727662275,0.000988180974598
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.520721524954,0.103341847658,0.00287675235064,0.0130792916397,1,sqrt,2,33,182,0.10000000000000001,170,113,0.00630200623577,0.0134117643893,0.0114051720647,0.0117062314603,0.00178278036711,0.0136572901121,-0.000482706666487,0.0123607030667,-0.00514425649768,0.0144090429808,-0.00170355971019,0.0139258202077,0.0061241146783,0.0126344467152,0.00473046833363,0.0125290341854,0.00503876467979,0.00186879218856,0.0049528591886,0.000853800596982
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.768007785082,0.15500664711,0.00295436427603,0.0132517171442,1,sqrt,2,33,182,0.10000000000000001,250,97,0.00527781175403,0.0137038921315,0.011096781903,0.011691548879,0.002141068054,0.0136681995351,-0.000477259880862,0.0126803829899,-0.00389198976267,0.014433958839,-0.00211649194008,0.0142329547512,0.00656303740657,0.0129843611764,0.00504195667426,0.0126184388515,0.0105385417823,0.00555462572509,0.00466505061958,0.000863966927057
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.523839622736,0.108368486166,0.00382565296683,0.0126233864918,1,sqrt,2,33,202,0.20000000000000001,170,81,0.00648757438273,0.012970972343,0.0131526518319,0.0109838216477,0.00682170882217,0.0126800434783,-0.00140502311452,0.0121911136093,-0.00608762198499,0.0142751974148,-0.00187195138313,0.0138360075047,0.00814865862538,0.0118527381506,0.00535922655509,0.0121971977858,0.018337729754,0.00889918313506,0.00593918131861,0.000998343840204
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.814778745174,0.160443991423,0.00385730723197,0.0128634695201,1,sqrt,2,33,202,0.20000000000000001,250,65,0.00563593973691,0.013306160374,0.0129150765386,0.0111241653356,0.00730133839133,0.0127465630386,-0.00172575606521,0.0124905434699,-0.00512659164753,0.0143638032709,-0.00263066201028,0.0141573870859,0.00869941197101,0.0123092778364,0.00578970094098,0.0124098557494,0.0945303153422,0.0139675034607,0.00589727662275,0.000988180974598
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.520701706409,0.108506500721,0.00287675235064,0.0130792916397,1,sqrt,2,33,202,0.10000000000000001,170,113,0.00630200623577,0.0134117643893,0.0114051720647,0.0117062314603,0.00178278036711,0.0136572901121,-0.000482706666487,0.0123607030667,-0.00514425649768,0.0144090429808,-0.00170355971019,0.0139258202077,0.0061241146783,0.0126344467152,0.00473046833363,0.0125290341854,0.034453498008,0.0166264912848,0.0049528591886,0.000853800596982
"{'max_leaf_nodes': 2, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.764315187931,0.150595247746,0.00295436427603,0.0132517171442,1,sqrt,2,33,202,0.10000000000000001,250,97,0.00527781175403,0.0137038921315,0.011096781903,0.011691548879,0.002141068054,0.0136681995351,-0.000477259880862,0.0126803829899,-0.00389198976267,0.014433958839,-0.00211649194008,0.0142329547512,0.00656303740657,0.0129843611764,0.00504195667426,0.0126184388515,0.0211307767153,0.0101403079427,0.00466505061958,0.000863966927057
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.517085492611,0.106812804937,0.00382565296683,0.0126233864918,1,sqrt,2,49,182,0.20000000000000001,170,81,0.00648757438273,0.012970972343,0.0131526518319,0.0109838216477,0.00682170882217,0.0126800434783,-0.00140502311452,0.0121911136093,-0.00608762198499,0.0142751974148,-0.00187195138313,0.0138360075047,0.00814865862538,0.0118527381506,0.00535922655509,0.0121971977858,0.0200483678351,0.00838857669343,0.00593918131861,0.000998343840204
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.749495923519,0.159507483244,0.00385730723197,0.0128634695201,1,sqrt,2,49,182,0.20000000000000001,250,65,0.00563593973691,0.013306160374,0.0129150765386,0.0111241653356,0.00730133839133,0.0127465630386,-0.00172575606521,0.0124905434699,-0.00512659164753,0.0143638032709,-0.00263066201028,0.0141573870859,0.00869941197101,0.0123092778364,0.00578970094098,0.0124098557494,0.0229104485276,0.0138121593192,0.00589727662275,0.000988180974598
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.513164818287,0.102851390839,0.00287675235064,0.0130792916397,1,sqrt,2,49,182,0.10000000000000001,170,113,0.00630200623577,0.0134117643893,0.0114051720647,0.0117062314603,0.00178278036711,0.0136572901121,-0.000482706666487,0.0123607030667,-0.00514425649768,0.0144090429808,-0.00170355971019,0.0139258202077,0.0061241146783,0.0126344467152,0.00473046833363,0.0125290341854,0.0212851218262,0.00718474424714,0.0049528591886,0.000853800596982
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.811962783337,0.149408817291,0.00295436427603,0.0132517171442,1,sqrt,2,49,182,0.10000000000000001,250,97,0.00527781175403,0.0137038921315,0.011096781903,0.011691548879,0.002141068054,0.0136681995351,-0.000477259880862,0.0126803829899,-0.00389198976267,0.014433958839,-0.00211649194008,0.0142329547512,0.00656303740657,0.0129843611764,0.00504195667426,0.0126184388515,0.0851663095501,0.00649048269606,0.00466505061958,0.000863966927057
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 1}",0.610210746527,0.124893337488,0.00382565296683,0.0126233864918,1,sqrt,2,49,202,0.20000000000000001,170,81,0.00648757438273,0.012970972343,0.0131526518319,0.0109838216477,0.00682170882217,0.0126800434783,-0.00140502311452,0.0121911136093,-0.00608762198499,0.0142751974148,-0.00187195138313,0.0138360075047,0.00814865862538,0.0118527381506,0.00535922655509,0.0121971977858,0.0597106719063,0.0168707677052,0.00593918131861,0.000998343840204
